,fst:drc-ghana,fst:drc-tanzania,fst:drc-cambodia,fst:ghana-tanzania,fst:ghana-cambodia,fst:tanzania-cambodia
Pf3D7_01_v3:255775-258543,0.013247269842091064,-0.002950350657440567,,0.0034425809747722284,,
Pf3D7_01_v3:260658-261809,-0.0015496719133181718,,,,,
Pf3D7_01_v3:263340-264223,,,,,,
Pf3D7_01_v3:265208-269173,0.002797452410106779,0.012209314150732696,0.03400195043634305,0.022751354819161587,0.030525211513224026,0.09420093394352594
Pf3D7_01_v3:272454-273404,-0.0011225355092104293,-0.0035354442901613303,,,,
Pf3D7_01_v3:274315-278550,-0.0006983453396773133,0.003973899149212257,-0.002499195517248616,0.008448426074383236,-0.0031210626409145857,-0.00025598913707243996
Pf3D7_01_v3:279115-280014,,,,,,
Pf3D7_01_v3:281155-285459,0.0002868833398288801,-0.0025534572266742734,0.0017565055684160683,0.002689106977190434,0.013846976707314074,0.008448272661309077
Pf3D7_01_v3:286951-288918,,,,,,
Pf3D7_01_v3:290386-292590,0.0037875448513594373,0.014486868143726636,,0.02111994459612246,,
Pf3D7_01_v3:293642-294968,,,,,,
Pf3D7_01_v3:295300-296931,0.0034451050133183303,0.01876869457529906,,0.00322567756219727,,
Pf3D7_01_v3:297362-299397,-0.002232854864433854,-0.0038910505836575585,0.03341253524360931,,,
Pf3D7_01_v3:299562-300868,,-0.0005650061820146737,,,,
Pf3D7_01_v3:302937-303398,,,,,,
Pf3D7_01_v3:304362-309257,0.0015360550002787585,0.01204777203526272,0.3433439137570523,0.010220494169956504,0.39835130543849534,0.4604929340160771
Pf3D7_01_v3:314618-319405,-0.0005735580822189406,0.004879762201016898,0.026877547766678778,0.0031147721795227747,0.040350833710573734,0.06501834270474133
Pf3D7_01_v3:320168-321508,,,,,,
Pf3D7_01_v3:322371-326072,0.034900762912059735,0.00903441132691462,0.019984693279121994,0.01859598306820596,0.021173133715238147,0.02484929458329195
Pf3D7_01_v3:326397-327224,,,,,,
Pf3D7_01_v3:328431-329558,,,,,,
Pf3D7_01_v3:330738-332708,0.008541545905597595,-0.0010446506779337084,,0.004940420708093045,,
Pf3D7_01_v3:337168-343833,1.7223911153180843e-05,0.06117636546075555,0.00805919518126323,0.03426072079035539,0.009784137343128609,0.016704461080320712
Pf3D7_01_v3:344400-346540,-0.0001776884765183717,0.030520368810331565,0.009173629349661837,0.023553508158296474,0.004799505777979316,-0.0001610767551294004
Pf3D7_01_v3:349170-349709,-0.0023561316814435314,,,,,
Pf3D7_01_v3:349995-351626,-0.0009424227229205077,0.0003220446757499122,,,,
Pf3D7_01_v3:352314-356211,-0.00143281771815684,-0.00346855332214213,,0.003500340635291558,,
Pf3D7_01_v3:357834-360339,,,,0.005346300678655374,0.911063418524826,0.8958950040303125
Pf3D7_01_v3:363318-363992,-0.0009786695735885874,0.004819486829949769,,0.0007879620795737013,,
Pf3D7_01_v3:365610-368795,0.0030478592452445035,-0.0031475780847571994,,0.0020224009481082973,,
Pf3D7_01_v3:369480-370178,0.0020423774515057275,-0.001746637166813399,,-0.0009682217614004826,,
Pf3D7_01_v3:371815-373012,,,,,,
Pf3D7_01_v3:374439-375087,-0.0007626999676996983,,,,,
Pf3D7_01_v3:376294-377004,,,,,,
Pf3D7_01_v3:377874-378599,,,,,,
Pf3D7_01_v3:379149-379806,0.006178123221394961,5.651153998156388e-05,,-0.0006813495269291955,,
Pf3D7_01_v3:380697-382424,,,,,,
Pf3D7_01_v3:383284-386632,0.011826263828479093,-0.0035482353610636077,,0.022186149010122717,,
Pf3D7_01_v3:386708-387940,-0.002129610255917899,-0.0005406014528434167,0.10209857297038004,0.0025036448974499245,0.09419503142017613,0.1332165498832166
Pf3D7_01_v3:388372-389076,0.015060296922153571,-0.0032092792507883256,0.5080453817628245,0.00979563201157264,0.6105713217120695,0.5222274250261821
Pf3D7_01_v3:389261-392065,0.0019080974924941525,-0.0014835841536061732,-0.0008835114708991913,-0.001995748937497544,0.0014699856382999871,-0.003877969160861164
Pf3D7_01_v3:392604-393035,-0.0018150342217498252,-0.0034864673473537816,,,,
Pf3D7_01_v3:393875-394835,0.0009819344034149766,-0.0004704642139544699,,-0.0010070015059104687,,
Pf3D7_01_v3:396591-403606,0.013057635581538685,0.0009852399105636461,,0.005592355293548006,,0.04288402660195135
Pf3D7_01_v3:405739-412169,0.005982376583396972,0.0016428477933477295,0.6740049237837901,0.011327082843896427,0.6380682156389137,0.6543789127929556
Pf3D7_01_v3:413760-415100,0.0024377442030478606,0.01100178040612703,,0.0007606782241856472,,
Pf3D7_01_v3:417921-419607,-0.0007125090557730131,-0.0018070186428078162,,-0.0025418547065394446,,
Pf3D7_01_v3:420293-420853,-0.0011697897263798092,,,,,
Pf3D7_01_v3:421776-427575,-0.0001319956283682717,9.511555623820185e-06,-0.005014458438036658,0.006172144242604088,0.01118166221604642,-0.0020386791732988777
Pf3D7_01_v3:430152-430858,,,,,,
Pf3D7_01_v3:431539-435042,0.002027807163616896,-0.0029018892772881403,0.06870720578154546,0.004909889328466297,,0.08165376876530908
Pf3D7_01_v3:436408-438564,,,,,,
Pf3D7_01_v3:439652-441418,-0.001582746044049047,,,,,
Pf3D7_01_v3:442543-443289,-0.0020534582568343435,,,,,
Pf3D7_01_v3:443585-443938,-0.002369000164119292,-0.003545645518824035,,-0.0024425846221804645,,
Pf3D7_01_v3:446026-448849,0.0005171254183529663,,,,,
Pf3D7_01_v3:450043-450646,,,,,,
Pf3D7_01_v3:450831-453118,,,,,,
Pf3D7_01_v3:454847-455338,,,,,,
Pf3D7_01_v3:464726-470194,0.18131572365820892,0.1434123793925058,0.6576010570019277,0.172264326479187,0.7963535869294871,0.7147461567764487
Pf3D7_01_v3:481809-482618,,,,,,
Pf3D7_01_v3:486500-487186,0.11265419940689318,0.004799922805990786,0.055362215848860113,0.06291067258840602,0.18802723477984784,0.06389716441248351
Pf3D7_01_v3:487892-490127,-0.0013334611048891661,,,0.017318176748531554,,
Pf3D7_01_v3:495244-500076,0.0006839141859861429,0.003532851768226376,0.0550902548187458,0.006669417268331499,0.05709449612913568,0.035358673041607246
Pf3D7_01_v3:500959-502868,0.019302050317469836,-1.944261276470791e-05,0.023832124819930117,0.020803431596343847,0.07122952277295272,0.01308433502361132
Pf3D7_01_v3:504938-506874,0.002386880724686041,0.03996054069312474,-0.0010889963890904973,0.0757108598521585,0.004456256060629782,-0.004517343798576452
Pf3D7_01_v3:508252-509748,0.010069581013571843,-0.003467672051241686,,0.006367793198331831,,0.06962800288646585
Pf3D7_01_v3:520807-522579,0.0665059903205406,0.0043619657177020425,,0.10729895264543325,,
Pf3D7_01_v3:527107-536351,0.004259342687594625,0.0030609368346686512,0.03059970832354476,0.0038235564322337797,0.030432148795784538,0.027590937092283125
Pf3D7_01_v3:537109-538025,0.056297815926949796,0.051482733801309126,0.23128370157119418,-0.0017211895717641867,0.0917334984748933,0.0981721909203106
Pf3D7_01_v3:542480-546983,0.007168400143256212,-0.00037258606360174486,,0.018941958271001952,,
Pf3D7_01_v3:547597-548380,,,,,,
Pf3D7_01_v3:577704-583789,,,,,,
Pf3D7_01_v3:587391-588394,,,,,,
Pf3D7_01_v3:604162-605531,,,,,,
Pf3D7_01_v3:607390-614893,,,,,,
Pf3D7_02_v3:25232-31168,,,,,,
Pf3D7_02_v3:35927-37249,,,,,,
Pf3D7_02_v3:63157-64376,,,,,,
Pf3D7_02_v3:69088-69771,,,,,,
Pf3D7_02_v3:73441-74396,,,,,,
Pf3D7_02_v3:77251-78808,,,,,,
Pf3D7_02_v3:81291-84165,,,,,,
Pf3D7_02_v3:86832-88791,,,,,,
Pf3D7_02_v3:91318-98838,,,,,,
Pf3D7_02_v3:103385-105796,,,,,,
Pf3D7_02_v3:109564-110580,0.13289327426091307,0.04627485629187316,0.47261872926269277,0.03122539140796631,0.6271195289606619,0.4359685049114775
Pf3D7_02_v3:112547-113682,-0.0018588016942773088,-0.003467649668056526,,-0.00235006882889627,,
Pf3D7_02_v3:120524-124102,0.019883388122661248,0.006451660123699356,0.22194405041492934,0.0005388875202346156,0.16091981381509562,0.18316512308118507
Pf3D7_02_v3:127994-128314,,,,,,
Pf3D7_02_v3:129342-133563,-0.00015466595888420073,-0.0024211175642539235,-0.0032548489748303972,-0.0015582287302151171,-0.001866266062310089,
Pf3D7_02_v3:135523-137139,0.0016107178710736444,0.03463039894836068,0.15669016444115172,0.01608008486320513,0.11918386672237823,0.07006297804541094
Pf3D7_02_v3:137557-138389,,,,0.0068227271529065865,,
Pf3D7_02_v3:138927-141192,9.474057230784469e-05,-0.001431351931162865,,-0.001976581575028845,,
Pf3D7_02_v3:141625-147564,-0.0009825074751260278,-0.002364197357964521,,-0.001158284426453521,-0.00040401757204588766,
Pf3D7_02_v3:149524-156981,0.0006688161212447559,0.0030309214960227977,0.28595247685330777,-0.0003379759048903253,0.2932639923176193,0.35349285501812144
Pf3D7_02_v3:158137-159660,0.0017132641771914973,-0.0006632648427007452,-0.005166488920488166,-0.00019749826506768107,-0.0005577769105995666,-0.001925343910157261
Pf3D7_02_v3:160514-161242,-0.001151644201875735,0.002574414458878066,,,,
Pf3D7_02_v3:162065-162900,,,,,,
Pf3D7_02_v3:166144-168051,,,,,,-0.003877969160861164
Pf3D7_02_v3:168682-170136,0.0018366032171311128,-0.0029333494788966567,,0.005791452936923771,,
Pf3D7_02_v3:171563-174912,,,,,,
Pf3D7_02_v3:176567-178300,-0.0007905184981187843,-0.00043559399566551213,,0.003693536069290829,,
Pf3D7_02_v3:178955-181526,0.0010117338832682768,-0.0016816823750541057,,0.0034962912567521594,,
Pf3D7_02_v3:182228-189115,-0.00011905718784119633,-0.0015400567186994996,,-0.0020074357652882175,,
Pf3D7_02_v3:192818-194199,,,,,,
Pf3D7_02_v3:194826-196916,0.013667753328206843,0.01310984021919388,,-0.0012970933897146386,,
Pf3D7_02_v3:197219-198043,-0.0016478748043137284,0.014122373065909053,,0.009215543356691037,,
Pf3D7_02_v3:198353-199570,-0.0009709924440395803,-0.0020309507132006506,0.19407728729339202,0.0011711834551430243,0.17852476987314814,0.2874811530335556
Pf3D7_02_v3:200482-204048,0.002346178371829169,-0.0030944423300598555,0.2990512592997065,0.0023803530573983495,0.24858413530175424,0.29914051298750677
Pf3D7_02_v3:205889-207403,0.002715734294256325,-0.0034771307868229407,0.006245861522701387,-0.0016989818599685387,0.008211512834406654,0.0051115534537660426
Pf3D7_02_v3:209583-210833,-0.0007127706825434631,0.000724070410774402,0.15090039042872688,-0.0006764232606339773,0.1280887576930574,
Pf3D7_02_v3:211348-212627,-0.0011621980403434976,,,,,
Pf3D7_02_v3:212982-214508,0.022351079449902524,0.0032450701691873565,,0.006375861459844418,,-0.003980452742532799
Pf3D7_02_v3:214838-217348,-0.0004943992027071062,0.010750920438248924,0.1747919341137765,0.01369197530751634,0.15927563588580898,0.27118197231607954
Pf3D7_02_v3:217882-218907,,,,,,
Pf3D7_02_v3:219690-222256,-0.00031556433551543304,0.02617598277350177,0.009046270028182278,0.012606985872472767,0.0011910918663331255,-0.0012656141542723833
Pf3D7_02_v3:223478-224851,0.016119585644421112,0.022002968786137368,0.12389138890090758,0.07000887958989813,,0.12209321520427396
Pf3D7_02_v3:225562-226245,-0.0018598312185775072,-0.0010261055753899406,,-0.00039620724120294,,
Pf3D7_02_v3:228025-229932,-0.0011562274300233567,,,,,
Pf3D7_02_v3:231141-232529,,,,-0.002513231896729433,,
Pf3D7_02_v3:232729-233476,,,,,,
Pf3D7_02_v3:235237-238816,0.003848061751240709,,,0.015964019741691454,,
Pf3D7_02_v3:239246-243796,0.018516585290562004,0.0069231072697976655,0.04943858637378433,0.015219810668266966,-0.0038441652583536164,0.019715468661703164
Pf3D7_02_v3:245358-246699,0.002833221568653936,0.024028058118141828,,0.0007815741293112108,,
Pf3D7_02_v3:249030-250727,-0.0006710758471838738,-0.002907655888210396,0.022247072227980176,0.0044114089197307685,,0.014551144729843027
Pf3D7_02_v3:263037-267347,0.007757772296171349,-0.0030129162526372657,-0.00419018054882747,0.002424242226666987,0.009082007342953212,0.04900602043282541
Pf3D7_02_v3:270078-270619,,,,,,
Pf3D7_02_v3:271594-273009,0.02588152537171274,0.018818928691916932,,-0.00213567429022143,,
Pf3D7_02_v3:273689-274507,0.06183797416634722,0.010532120142245395,0.11231637560483056,0.0683594523702107,0.12387375359067454,0.017476391915566436
Pf3D7_02_v3:275540-276577,-0.0016761107953656555,,,,0.06638209572295685,
Pf3D7_02_v3:277494-278456,0.010703649758496228,0.001915378982782125,0.025227871607367145,0.018529676338217612,0.027663595580419947,0.017834819999640962
Pf3D7_02_v3:281907-287345,0.006490173002050561,0.0029750785480305536,0.3638735947144703,0.006907003278971658,0.29168046845744844,0.2821563893790276
Pf3D7_02_v3:288183-288665,,,,,,
Pf3D7_02_v3:290168-292703,0.11468941877292625,0.03406955995414127,0.34828469234012027,0.0362582913553983,0.15760574733266364,0.2510871156078696
Pf3D7_02_v3:294273-297616,0.11075419543094919,0.035409476737951286,,0.057545730823547345,,
Pf3D7_02_v3:298897-302564,0.006336592114518289,0.0034881473006907597,-0.0035239291411801794,0.0014505200731451892,,0.006790760964772371
Pf3D7_02_v3:303593-307027,0.0052457976197368954,0.007008078277652035,0.022225216095577205,0.0067920127621417985,0.662998480576309,0.664530440934708
Pf3D7_02_v3:308847-312155,0.006092299927629308,0.008499777322938266,0.0906262763829782,0.023579899275484605,0.11943692776221533,0.07065955921875644
Pf3D7_02_v3:313449-316741,0.0005601203236698243,-0.00043368239779025176,,0.005920020476763466,0.0012139193164680798,
Pf3D7_02_v3:317596-321310,0.06601645083886946,0.011470869708409147,0.30961797313197886,0.05418415401307122,0.5777526583517834,0.34044697615930697
Pf3D7_02_v3:322338-325723,0.007083525666247416,0.004052908176400092,0.048910030348280085,0.016079213163702533,0.04421158320591896,0.04048734775438649
Pf3D7_02_v3:327932-335203,0.0019072158870658308,0.0012673754569881655,0.0840159667002203,0.003183373742290173,0.12274432642198686,0.13757154532449414
Pf3D7_02_v3:335679-336581,,,,,,
Pf3D7_02_v3:337558-342966,-0.0005514540284710666,0.004080063221448674,0.31690242017475956,0.0055378178212799984,0.3144653543970737,0.2936476491635487
Pf3D7_02_v3:343308-349340,0.0012203616569079335,0.02009705160079242,0.009094619597063513,0.023739909694788883,-0.002295816427145155,0.053174806258857746
Pf3D7_02_v3:352836-353628,0.006869110400437643,0.0014340913315692534,,-0.0007270606028344543,,
Pf3D7_02_v3:354621-356117,0.00993441740060666,0.0024133891678652553,,-0.0009682217614004826,,
Pf3D7_02_v3:356501-358014,,,,,,
Pf3D7_02_v3:359142-359849,,,,,,
Pf3D7_02_v3:360828-368354,0.03736410229228147,0.031433534770142005,0.23321661159641344,0.1464946810008747,0.4212275287464019,0.18771145445659856
Pf3D7_02_v3:370438-379845,0.05653015638274061,0.03423303968944105,0.17825443207183406,0.10037443261673028,0.14570239875245464,0.2217898388440147
Pf3D7_02_v3:381130-383445,-0.0017012688365315013,0.007061523791103348,,0.002211613943257051,,
Pf3D7_02_v3:384865-386580,,,,,,
Pf3D7_02_v3:387273-388151,0.00242338551195511,0.0031579130378699776,-6.132200183168607e-05,0.010183641718685434,-0.004029115599599605,0.016911969248666028
Pf3D7_02_v3:388424-390611,-0.00048070429776091644,-0.003362908934559369,0.38644872763454535,-0.000821157800137156,0.36346774890074013,0.38995746056145625
Pf3D7_02_v3:391275-392789,0.00528373498014134,0.004045528368050736,,0.018826221602128594,,
Pf3D7_02_v3:394237-398745,-0.001203801305057125,0.006248273904325219,,0.015712320971719686,,
Pf3D7_02_v3:400153-401859,-0.0008657613420886228,-0.003294648864666799,,-0.0017807335260857158,,
Pf3D7_02_v3:404281-406355,,,,,,
Pf3D7_02_v3:409983-410228,,,,,,
Pf3D7_02_v3:412275-412859,,,,,,
Pf3D7_02_v3:413278-421137,0.007750285609545355,0.01079090006202258,0.4158055668862505,0.016118037378644406,0.2526255387048033,0.44049479779085227
Pf3D7_02_v3:423063-424654,-0.001177404822213529,,,-0.0009613575219374128,0.0012775470256099625,-0.0038963271316824273
Pf3D7_02_v3:425689-426497,,,,-0.0009091677751130686,,
Pf3D7_02_v3:427490-431530,0.0033214087755193094,0.0038306595822417376,0.006333670929944386,0.003927306511083042,0.2319765757655374,-0.003877969160861164
Pf3D7_02_v3:432041-434086,0.03343762652712915,0.003519583869280591,,0.006293911847596505,,
Pf3D7_02_v3:436050-436994,,,,-0.0009698028261487738,,
Pf3D7_02_v3:437755-439002,0.04757497066915682,0.010451882671178149,0.18028568721689026,0.08035450876890655,0.26065970362094376,0.10462974532960884
Pf3D7_02_v3:442080-442934,,,,-0.0009849848555772438,,
Pf3D7_02_v3:451751-455116,0.0019619657247205613,0.005238335233799839,,0.007795723821264159,,
Pf3D7_02_v3:455579-456286,,,,,,
Pf3D7_02_v3:457130-458585,-0.0011340307717306443,,,,,
Pf3D7_02_v3:459072-461518,,,,,,
Pf3D7_02_v3:463163-466900,0.0037855759935782013,-0.0028668139217361073,0.35022523621198726,0.0018118356855097372,0.4146280999998338,0.3617815013706156
Pf3D7_02_v3:467847-468476,0.0074349839647404985,0.010025069590962716,0.04673020063247979,-0.002299579896042604,0.013200821140199832,0.00817743025078067
Pf3D7_02_v3:469790-473491,0.004500591268142107,-0.0013864617140080266,0.3071459464391974,0.005629179348532753,0.23801804827321513,0.2999161696990057
Pf3D7_02_v3:475242-477074,,,,-0.0009598821058481974,,
Pf3D7_02_v3:477432-479091,0.006877285238897286,-0.0017762978195553086,-0.00506972925643371,0.011665806234067808,0.005474345586961927,-0.0038546500064687125
Pf3D7_02_v3:480100-481432,0.00350171085132986,0.010588741213424605,0.1136953821835836,-0.00032134020503628156,0.15711999741436872,0.16710791363755015
Pf3D7_02_v3:483436-488970,0.002373809386125161,0.015500050568532247,0.5440471463629019,0.019664903119137815,0.5377749851947756,0.4758480626082736
Pf3D7_02_v3:489904-490818,-0.0009549863294573955,,,,,
Pf3D7_02_v3:492616-494306,,,,,,0.07071266274473959
Pf3D7_02_v3:495166-507854,0.018193031506304552,0.003187511593048252,0.13446581862850868,0.02740593984378133,0.10670121187010004,0.13521455212034267
Pf3D7_02_v3:509525-521746,0.023696129431087377,0.044227740705010704,0.3174208028258289,0.04042043732272234,0.3214991232583665,0.3084430710946152
Pf3D7_02_v3:522931-523999,-0.002072053948994824,0.012928971026976866,0.08497302386501292,0.018272354458133872,0.09465593583781227,0.028758072815627464
Pf3D7_02_v3:524700-526043,0.008058364130979283,-0.000421610793997746,,-0.0009625641736250246,,0.04192760584782517
Pf3D7_02_v3:528249-531923,0.008949945436443821,0.024240900841813826,0.6026779050000985,0.018078114530264654,0.5496668466640654,0.6229404623421488
Pf3D7_02_v3:533253-534350,,,,,,
Pf3D7_02_v3:535646-536146,,,,-0.000944551719667789,,
Pf3D7_02_v3:537789-539420,,,,,,
Pf3D7_02_v3:540409-540969,,,,,,
Pf3D7_02_v3:541086-541548,,,,,,
Pf3D7_02_v3:541811-543807,-0.00011353790604625568,-0.0002743925206143073,0.2028509256199776,-0.0016216550913144099,0.17368240180640462,0.16925248341472363
Pf3D7_02_v3:543802-545895,-0.0024031163278348485,-0.0008189469467254131,,0.0013525628548029687,,
Pf3D7_02_v3:546482-555294,0.02793414491076856,0.00616635712630925,0.004592409311803221,0.02531195273603024,0.004188183901187964,-0.0045567028926457795
Pf3D7_02_v3:557048-557696,,,,-0.0024725365930478916,,
Pf3D7_02_v3:558585-560594,0.021828555019924353,0.005974822788540463,0.20444035158949753,0.004815071435875552,0.08785405751625916,0.13856542445579126
Pf3D7_02_v3:561122-564622,0.00891046590010184,-0.003462480792501611,,-0.0012784103433598386,0.18333293067336762,0.17884934852325524
Pf3D7_02_v3:566121-567894,-0.0013530961869156711,0.013200487085981488,,,0.026429083394614333,
Pf3D7_02_v3:568529-573315,-0.0006851025714733716,0.0002853785863767708,,5.1860110457942565e-05,,
Pf3D7_02_v3:575155-576054,,,,0.004909889328466297,,
Pf3D7_02_v3:578662-586164,0.022706258371196598,0.0429596261419389,,0.015382676041719593,,
Pf3D7_02_v3:586765-589051,-0.0020575551417842224,0.0065688262832364576,,-0.0009529405273972048,,
Pf3D7_02_v3:590501-591421,,,,,,
Pf3D7_02_v3:594196-599340,0.004753453046610717,0.01285954002891626,,0.014775428994515909,0.0013016966543391026,
Pf3D7_02_v3:599829-601712,0.001994862061168427,0.010725849670909763,,-0.00023216288035657521,,
Pf3D7_02_v3:605045-609325,0.11903799498624021,0.052724496933509266,,0.2918850390123775,,
Pf3D7_02_v3:610625-615372,0.0007814850349584168,-0.0034234119084871153,,-0.001509523788057243,,
Pf3D7_02_v3:616772-619429,0.062143971876876807,0.019156009531869366,,0.11871205348566548,,
Pf3D7_02_v3:622524-624306,0.00496649042604941,0.011914918744710198,,-0.0012434630717658751,,
Pf3D7_02_v3:626976-627710,,0.029721662197760387,,-0.0009613575219374128,,
Pf3D7_02_v3:628642-631308,0.2155513742631881,0.14128007150748587,,0.05450992693236469,,0.9788765281358164
Pf3D7_02_v3:634589-637507,0.00014375219190215758,,,0.0015014846631816912,,-0.0038963271316824273
Pf3D7_02_v3:640400-642694,0.0015759751938206382,0.0022587904496427966,,0.013586636535084915,,
Pf3D7_02_v3:643106-644317,-0.0011697897263798092,,,,,
Pf3D7_02_v3:645929-650085,0.0005673753511558504,0.032389809548937006,0.1556267271574598,0.05158264086732121,0.12543326442780456,0.28444427788671045
Pf3D7_02_v3:650663-653362,0.00032669987480172835,0.0009528423117014768,,0.0036712730907810932,,
Pf3D7_02_v3:654918-656840,-0.0021436559685325163,-0.0032195050366742384,-0.003854829097547479,-0.0025372513833814793,-0.0015225730351262254,-0.0024416592682275098
Pf3D7_02_v3:658636-664629,0.042226589921220054,0.06346727487047786,0.014454283001685745,-0.00018473077013552133,0.11923778295235421,0.14928928934868574
Pf3D7_02_v3:664984-668532,0.003351979188014047,0.0017144011877991403,-0.0024143353932710248,0.0014899332033834112,0.9276874822516693,0.9556730123018551
Pf3D7_02_v3:668985-669841,0.06859005487118498,0.005882955304036533,,0.02282618220476046,,
Pf3D7_02_v3:670413-674558,0.0007401198314041518,0.005841994625143542,0.05847583131871356,0.011620831974308389,0.10013419337770481,0.025907306052926366
Pf3D7_02_v3:675431-677599,0.0071024412037080965,-0.0015243545196630458,,,,
Pf3D7_02_v3:678487-683703,0.0003342034180395702,0.011790207566744482,,0.021216272927578352,,
Pf3D7_02_v3:686485-688545,-0.0013637287299401914,-0.003462480792501611,,0.002855812532192577,,
Pf3D7_02_v3:690311-695783,0.007985564786814933,-0.002533289423089197,0.34819035247297797,0.009569732449930304,0.42434586559555243,0.36875222088780324
Pf3D7_02_v3:696193-699561,0.005883540316008874,-0.003462480792501611,,0.00802648540785212,0.0012139193164680798,0.0015463298332412017
Pf3D7_02_v3:701245-702894,0.0013248017678254202,-0.00011985045687371997,0.008405399727544621,-0.0024408391460016086,0.027600713365222553,0.024357675219951153
Pf3D7_02_v3:703090-706587,0.016457615575399584,0.004509011497123134,,0.04739297307475599,,
