,tajimas_d_all
Pf3D7_02_v3:129342-133563,-1.0214694315782145
Pf3D7_02_v3:135523-137139,-0.8966381531886108
Pf3D7_02_v3:137557-138389,
Pf3D7_02_v3:138927-141192,
Pf3D7_02_v3:141625-147564,-1.5604137296801661
Pf3D7_02_v3:149524-156981,-1.3356197533407914
Pf3D7_02_v3:158137-159660,-1.1773020510821686
Pf3D7_02_v3:166144-168051,-1.0454147582933462
Pf3D7_02_v3:171563-174912,
Pf3D7_02_v3:178955-181526,
Pf3D7_02_v3:182228-189115,-1.2590730397996976
Pf3D7_02_v3:192818-194199,
Pf3D7_02_v3:194826-196916,
Pf3D7_02_v3:198353-199570,-0.642449399876227
Pf3D7_02_v3:200482-204048,-1.5835491598899496
Pf3D7_02_v3:205889-207403,
Pf3D7_02_v3:209583-210833,
Pf3D7_02_v3:211348-212627,-1.1833871435384071
Pf3D7_02_v3:212982-214508,-1.5806659605251958
Pf3D7_02_v3:214838-217348,-0.5107189079195779
Pf3D7_02_v3:219690-222256,-0.8827960007958994
Pf3D7_02_v3:223478-224851,
Pf3D7_02_v3:228025-229932,-1.261145581227877
Pf3D7_02_v3:235237-238816,-1.2224664891323727
Pf3D7_02_v3:239246-243796,-1.1315358609383637
Pf3D7_02_v3:249030-250727,
Pf3D7_02_v3:263037-267347,-1.409854803409283
Pf3D7_02_v3:273689-274507,
Pf3D7_02_v3:275540-276577,
Pf3D7_02_v3:277494-278456,0.9822730123577644
Pf3D7_02_v3:281907-287345,0.0072046946228276725
Pf3D7_02_v3:290168-292703,-0.430808012155366
Pf3D7_02_v3:294273-297616,-1.3979623949505444
Pf3D7_02_v3:298897-302564,-0.7260657009531937
Pf3D7_02_v3:303593-307027,0.09572354117144352
Pf3D7_02_v3:308847-312155,0.03581084953596826
Pf3D7_02_v3:313449-316741,-1.830031936041767
Pf3D7_02_v3:317596-321310,-0.653357640553796
Pf3D7_02_v3:322338-325723,-0.6391312215660798
Pf3D7_02_v3:327932-335203,-0.38731192874439674
Pf3D7_02_v3:337558-342966,-1.9674292028018017
Pf3D7_02_v3:343308-349340,-1.8173821940984025
Pf3D7_02_v3:359142-359849,
Pf3D7_02_v3:360828-368354,-1.0682384248012229
Pf3D7_02_v3:370438-379845,1.1812913261540394
Pf3D7_02_v3:381130-383445,-1.067720986337603
Pf3D7_02_v3:384865-386580,
Pf3D7_02_v3:387273-388151,
Pf3D7_02_v3:388424-390611,
Pf3D7_02_v3:391275-392789,-1.4695727087926198
Pf3D7_02_v3:394237-398745,-1.5109621382683727
Pf3D7_02_v3:400153-401859,-1.3445210109555237
Pf3D7_02_v3:413278-421137,-0.6642654325280165
Pf3D7_02_v3:423063-424654,-1.152124310038302
Pf3D7_02_v3:427490-431530,-0.591494830521127
Pf3D7_02_v3:432041-434086,
Pf3D7_02_v3:437755-439002,-0.5651343906531858
Pf3D7_02_v3:451751-455116,-1.45816836875223
Pf3D7_02_v3:463163-466900,-1.3067291003304327
Pf3D7_02_v3:467847-468476,
Pf3D7_02_v3:469790-473491,0.9781056147947397
Pf3D7_02_v3:475242-477074,
Pf3D7_02_v3:477432-479091,-1.5834839631989321
Pf3D7_02_v3:480100-481432,
Pf3D7_02_v3:483436-488970,-0.4541126637364262
Pf3D7_02_v3:492616-494306,
Pf3D7_02_v3:495166-507854,-0.19987096401604842
Pf3D7_02_v3:509525-521746,-0.24397143653577402
Pf3D7_02_v3:522931-523999,-0.9595086300785157
Pf3D7_02_v3:524700-526043,
Pf3D7_02_v3:528249-531923,-1.1039971466586158
Pf3D7_02_v3:533253-534350,
Pf3D7_02_v3:541811-543807,-1.5776324190577262
Pf3D7_02_v3:543802-545895,
Pf3D7_02_v3:546482-555294,-0.40536109885715305
Pf3D7_02_v3:557048-557696,
Pf3D7_02_v3:558585-560594,0.5127943948450007
Pf3D7_02_v3:561122-564622,-1.2362470487394703
Pf3D7_02_v3:566121-567894,-1.3172334307886642
Pf3D7_02_v3:578662-586164,-1.166902712810685
Pf3D7_02_v3:586765-589051,-1.3361909829269847
Pf3D7_02_v3:590501-591421,
Pf3D7_02_v3:594196-599340,-1.87590316335997
Pf3D7_02_v3:599829-601712,-1.1272650975156286
Pf3D7_02_v3:605045-609325,-1.1882718367802085
Pf3D7_02_v3:616772-619429,-0.08334675780794054
Pf3D7_02_v3:622524-624306,
Pf3D7_02_v3:626976-627710,
Pf3D7_02_v3:628642-631308,-1.46851528940679
Pf3D7_02_v3:634589-637507,-1.3326256013592188
Pf3D7_02_v3:640400-642694,-1.3867954852084319
Pf3D7_02_v3:645929-650085,-1.1215743967447873
Pf3D7_02_v3:650663-653362,
Pf3D7_02_v3:654918-656840,
Pf3D7_02_v3:658636-664629,-0.8245571650026803
Pf3D7_02_v3:664984-668532,-1.1910192188159623
Pf3D7_02_v3:670413-674558,-1.1173127246936112
Pf3D7_02_v3:675431-677599,
Pf3D7_02_v3:678487-683703,-1.4237314054876775
Pf3D7_02_v3:690311-695783,-1.7850682556842354
Pf3D7_02_v3:696193-699561,
Pf3D7_02_v3:701245-702894,-0.559476664740913
Pf3D7_02_v3:703090-706587,-1.1761521655264173
Pf3D7_02_v3:707738-709393,
Pf3D7_02_v3:709799-715252,-1.0244082910057277
Pf3D7_02_v3:717692-718281,
Pf3D7_02_v3:720437-722661,
Pf3D7_02_v3:723747-729932,-1.065118236283505
Pf3D7_02_v3:731120-732312,-0.9527226322559448
Pf3D7_02_v3:735438-736997,0.057134628197664634
Pf3D7_02_v3:738860-739852,
Pf3D7_02_v3:741014-742459,
Pf3D7_02_v3:743289-745712,
Pf3D7_02_v3:747566-749365,
Pf3D7_02_v3:755418-762560,-1.9639311296765958
Pf3D7_02_v3:763491-765191,
Pf3D7_02_v3:769761-771041,
Pf3D7_02_v3:776828-778065,
Pf3D7_02_v3:779418-782132,-1.0562274170322274
Pf3D7_02_v3:783723-784828,
Pf3D7_02_v3:786870-787940,-1.1757946222770659
Pf3D7_02_v3:796752-801586,-0.9324853013958709
Pf3D7_02_v3:804520-807741,0.13017754180890673
Pf3D7_02_v3:809511-810298,
Pf3D7_02_v3:813827-814654,
Pf3D7_02_v3:831189-832005,-1.2448037846125641
Pf3D7_02_v3:833805-834688,
Pf3D7_02_v3:838843-844116,2.1155822399911286
Pf3D7_03_v3:78195-80393,-1.4629200409141117
Pf3D7_03_v3:85305-86131,
Pf3D7_03_v3:88250-89231,
Pf3D7_03_v3:91115-93463,-1.2336754505724385
Pf3D7_03_v3:105913-107109,-1.250671430910666
Pf3D7_03_v3:107961-109880,-0.9649946592362861
Pf3D7_03_v3:114070-118086,-0.9017974462772608
Pf3D7_03_v3:119458-124735,1.4932894121708349
Pf3D7_03_v3:135418-140660,0.7269457175306482
Pf3D7_03_v3:141556-145653,-0.830808806771021
Pf3D7_03_v3:148046-149305,-1.3812934509472925
Pf3D7_03_v3:152168-156146,0.9404031895868908
Pf3D7_03_v3:159353-161704,-1.4259780766383283
Pf3D7_03_v3:162778-167103,-0.8910290084417419
Pf3D7_03_v3:169571-174300,-1.1123868550432054
Pf3D7_03_v3:175022-175799,
Pf3D7_03_v3:178420-181127,0.12394946986470225
Pf3D7_03_v3:182731-189411,-1.7936187914348845
Pf3D7_03_v3:191245-192591,
Pf3D7_03_v3:194430-196211,-1.1135918638376627
Pf3D7_03_v3:196570-197438,
Pf3D7_03_v3:198542-201584,-1.0629803208573545
Pf3D7_03_v3:204542-206119,-1.3434736869197568
Pf3D7_03_v3:212283-216572,-1.48333627701679
Pf3D7_03_v3:219117-219872,
Pf3D7_03_v3:221323-222516,-0.3142397591532443
Pf3D7_03_v3:224160-225793,-0.23570153204278524
Pf3D7_03_v3:227057-231397,-1.32557524942459
Pf3D7_03_v3:231793-232305,
Pf3D7_03_v3:234058-235334,-1.4225616006377513
Pf3D7_03_v3:236334-248270,-1.083481961938617
Pf3D7_03_v3:251242-254661,-0.4736994610342342
Pf3D7_03_v3:255276-258416,-1.5949003898314338
Pf3D7_03_v3:261485-273286,-1.7003933452418964
Pf3D7_03_v3:275864-277717,-0.9642497282317195
Pf3D7_03_v3:281916-285260,-1.5130097158155584
Pf3D7_03_v3:288637-290747,
Pf3D7_03_v3:292943-294548,
Pf3D7_03_v3:301007-301906,-1.3456292724462076
Pf3D7_03_v3:302826-303083,
Pf3D7_03_v3:304317-304999,
Pf3D7_03_v3:306108-307984,
Pf3D7_03_v3:312693-313342,
Pf3D7_03_v3:314976-316236,
Pf3D7_03_v3:318804-320336,
Pf3D7_03_v3:321050-322162,
Pf3D7_03_v3:322933-324836,-1.3400951268045236
Pf3D7_03_v3:325922-328383,
Pf3D7_03_v3:328787-335269,-1.7468405903637645
Pf3D7_03_v3:337179-339278,-1.3858743012129715
Pf3D7_03_v3:340028-351652,-1.5066863213238757
Pf3D7_03_v3:356319-361454,-1.0842105858129674
Pf3D7_03_v3:362342-364233,-0.21756969143717467
Pf3D7_03_v3:372632-374230,
Pf3D7_03_v3:375806-377437,-1.3640559215886088
Pf3D7_03_v3:378045-378517,
Pf3D7_03_v3:379130-383290,-0.8935844234600309
Pf3D7_03_v3:384375-386879,
Pf3D7_03_v3:387219-388473,
Pf3D7_03_v3:389137-394604,-1.1206114290991536
Pf3D7_03_v3:397649-400516,-1.3120763107885058
Pf3D7_03_v3:402933-405440,
Pf3D7_03_v3:409102-410928,
Pf3D7_03_v3:412089-413762,
Pf3D7_03_v3:414234-419673,-2.046420276346588
Pf3D7_03_v3:420697-421515,
Pf3D7_03_v3:422379-424680,
Pf3D7_03_v3:427290-440942,-1.0352656630046446
Pf3D7_03_v3:442720-446457,-0.6730967444359828
Pf3D7_03_v3:447500-451384,-1.5806659605251958
Pf3D7_03_v3:452297-459106,-1.6377858488649266
Pf3D7_03_v3:466085-468445,-0.8330247520895664
Pf3D7_03_v3:469287-470118,0.8980308810796195
Pf3D7_03_v3:470860-473161,-1.7000715698462554
Pf3D7_03_v3:474788-479086,-0.8270522784854675
Pf3D7_03_v3:480122-483453,-1.0408176608329618
Pf3D7_03_v3:488804-496510,-0.5691820587121198
Pf3D7_03_v3:499602-502353,0.80248564027395
Pf3D7_03_v3:502698-505848,
Pf3D7_03_v3:506655-508846,
Pf3D7_03_v3:509291-511597,0.9815577038890041
Pf3D7_03_v3:513752-516262,
Pf3D7_03_v3:516793-520503,-0.12157727900903191
Pf3D7_03_v3:521969-522883,
Pf3D7_03_v3:524154-526439,-1.4431613418057527
Pf3D7_03_v3:529037-530776,
Pf3D7_03_v3:536043-537274,-1.5048005371057243
Pf3D7_03_v3:537621-538804,
Pf3D7_03_v3:543241-543942,-1.3456292724462076
Pf3D7_03_v3:544055-545194,
Pf3D7_03_v3:545828-548182,
Pf3D7_03_v3:548718-551453,-0.2968200243151598
Pf3D7_03_v3:552001-554621,-0.5188097952578414
Pf3D7_03_v3:555035-558684,-0.7505635472720464
Pf3D7_03_v3:559334-562253,
Pf3D7_03_v3:562366-565656,
Pf3D7_03_v3:567247-568850,
Pf3D7_03_v3:569308-571051,
Pf3D7_03_v3:572666-576823,
Pf3D7_03_v3:577008-578366,
Pf3D7_03_v3:586555-587331,
Pf3D7_03_v3:589002-592547,-0.7028388389092407
Pf3D7_03_v3:604595-607931,-1.8310869252620812
Pf3D7_03_v3:616472-622816,-1.2844564390101683
Pf3D7_03_v3:623446-630360,-1.2357584002792734
Pf3D7_03_v3:630611-631381,
Pf3D7_03_v3:635586-637462,
Pf3D7_03_v3:638283-641306,0.5603701704859191
Pf3D7_03_v3:645921-646844,-1.1088130966951173
Pf3D7_03_v3:649849-657247,-0.40289955080040774
Pf3D7_03_v3:658272-661643,-1.0212362925583558
Pf3D7_03_v3:662126-665152,
Pf3D7_03_v3:667006-668391,
Pf3D7_03_v3:669302-670873,
Pf3D7_03_v3:677842-678474,
Pf3D7_03_v3:679234-681277,
Pf3D7_03_v3:686282-689482,
Pf3D7_03_v3:690154-694815,-1.184431731797493
Pf3D7_03_v3:699544-709728,0.03437490039168143
Pf3D7_03_v3:712253-714082,
Pf3D7_03_v3:716523-721831,1.5053210544185764
Pf3D7_03_v3:728259-738076,-1.7649860185641957
Pf3D7_03_v3:738205-738882,
Pf3D7_03_v3:739428-741733,-0.9574749194618982
Pf3D7_03_v3:748465-755838,2.787899159636484
Pf3D7_03_v3:756491-760292,-0.6003991117237317
Pf3D7_03_v3:761693-765439,-0.38299119050244423
Pf3D7_03_v3:767815-782760,-1.9237406811195605
Pf3D7_03_v3:783112-786165,
Pf3D7_03_v3:791840-793481,
Pf3D7_03_v3:795577-801171,-1.448015720992274
Pf3D7_03_v3:803592-806312,0.7106322514567465
Pf3D7_03_v3:807277-807859,
Pf3D7_03_v3:810081-814172,-0.4339538682043041
Pf3D7_03_v3:815569-816855,-1.4226892138956893
Pf3D7_03_v3:817913-818695,
Pf3D7_03_v3:820708-830802,-1.1483130828008803
Pf3D7_03_v3:831076-832509,
Pf3D7_03_v3:840362-841758,
Pf3D7_03_v3:842539-844290,
Pf3D7_03_v3:845713-847320,
Pf3D7_03_v3:848247-857504,-0.24729095042993599
Pf3D7_03_v3:860813-862102,
Pf3D7_03_v3:865014-866420,
Pf3D7_03_v3:877735-879511,
Pf3D7_03_v3:879959-885493,-1.5858853356297864
Pf3D7_03_v3:886962-888976,
Pf3D7_03_v3:890014-892764,0.21762044922287474
Pf3D7_03_v3:894761-896112,
Pf3D7_03_v3:896546-899770,-1.531514232244257
Pf3D7_03_v3:900857-903369,0.6847697935908527
Pf3D7_03_v3:903764-910118,-1.0851482600160418
Pf3D7_03_v3:912916-921036,-1.4402639779302058
Pf3D7_03_v3:922974-927942,-1.8163885700168456
Pf3D7_03_v3:928644-929159,
Pf3D7_03_v3:930640-932415,
Pf3D7_03_v3:933188-937006,-1.281784214908168
Pf3D7_03_v3:942545-945301,-0.967375044718948
Pf3D7_03_v3:948374-952693,-1.470210821988674
Pf3D7_03_v3:952964-962367,-1.5347893631262288
Pf3D7_03_v3:964101-965203,
Pf3D7_03_v3:965553-966502,
Pf3D7_03_v3:971166-975794,-0.9371436146404755
Pf3D7_03_v3:976870-978195,
Pf3D7_03_v3:978970-980271,-1.0276362179504366
Pf3D7_03_v3:980706-983966,0.5034092175050567
Pf3D7_03_v3:986265-987610,
Pf3D7_03_v3:988631-990882,-0.38560942197029513
Pf3D7_03_v3:991544-993625,-1.6220657075334064
Pf3D7_03_v3:998649-1001582,-1.261145581227877
Pf3D7_04_v3:92576-93809,0.22344100121164182
Pf3D7_04_v3:103742-105603,1.2240455128908998
Pf3D7_04_v3:108380-111295,0.6059459517743698
Pf3D7_04_v3:114601-116058,-0.4662305933662903
Pf3D7_04_v3:123588-125464,-0.14416867056890534
Pf3D7_04_v3:137640-146653,0.022480666596229795
Pf3D7_04_v3:147490-148380,
Pf3D7_04_v3:175372-177252,-1.1829742791464564
Pf3D7_04_v3:178518-180200,
Pf3D7_04_v3:182870-194712,-1.7053761284500955
Pf3D7_04_v3:195543-196745,
Pf3D7_04_v3:197846-201208,-1.1088130966951173
Pf3D7_04_v3:206228-209394,
Pf3D7_04_v3:219087-222838,-0.5680739567407287
Pf3D7_04_v3:224779-231733,-1.370241854996106
Pf3D7_04_v3:234014-237013,-1.2601835059642288
Pf3D7_04_v3:238360-239499,-1.2652804682540868
Pf3D7_04_v3:240911-242347,
Pf3D7_04_v3:247731-260147,-0.6634392165774614
Pf3D7_04_v3:260454-263418,0.1648560547673909
Pf3D7_04_v3:264305-266170,
Pf3D7_04_v3:267244-268380,
Pf3D7_04_v3:268960-271134,
Pf3D7_04_v3:272255-276824,-1.018099319054704
Pf3D7_04_v3:279072-281983,
Pf3D7_04_v3:282403-288297,0.19986841965142918
Pf3D7_04_v3:291251-300976,-1.0521727301011308
Pf3D7_04_v3:305746-312993,-0.6128189732913526
Pf3D7_04_v3:321019-322545,-0.7240343014479549
Pf3D7_04_v3:323267-325225,
Pf3D7_04_v3:334282-344054,-0.8244972364583126
Pf3D7_04_v3:347458-351499,-1.176476108703666
Pf3D7_04_v3:351527-352983,-1.4259780766383283
Pf3D7_04_v3:353655-359878,-0.8682315865809765
Pf3D7_04_v3:360547-361764,0.10628200925345771
Pf3D7_04_v3:362301-363442,
Pf3D7_04_v3:363599-364933,
Pf3D7_04_v3:366379-367341,
Pf3D7_04_v3:369885-371270,
Pf3D7_04_v3:373039-376677,
Pf3D7_04_v3:377481-383087,-1.5712033680131001
Pf3D7_04_v3:384924-390806,0.13828670062430665
Pf3D7_04_v3:391347-393350,-0.7167671603629883
Pf3D7_04_v3:397328-400693,
Pf3D7_04_v3:403626-405366,
Pf3D7_04_v3:413403-416357,-0.2060148482557026
Pf3D7_04_v3:417372-420824,-0.5673267211318356
Pf3D7_04_v3:422011-422958,
Pf3D7_04_v3:424300-427194,
Pf3D7_04_v3:427664-435367,-0.4751743709616496
Pf3D7_04_v3:436217-437981,-0.2164350578628422
Pf3D7_04_v3:438887-440335,
Pf3D7_04_v3:440968-444242,-1.1735426776868398
Pf3D7_04_v3:446000-448018,
Pf3D7_04_v3:449189-450633,
Pf3D7_04_v3:452134-455571,-1.5129340056876375
Pf3D7_04_v3:459710-461437,-0.29310928955333965
Pf3D7_04_v3:461991-463957,
Pf3D7_04_v3:464732-467339,-1.2686206409723295
Pf3D7_04_v3:470528-473596,0.14420070961713
Pf3D7_04_v3:475944-476585,
Pf3D7_04_v3:479028-480468,
Pf3D7_04_v3:481177-483891,-0.3918084639705849
Pf3D7_04_v3:485832-489728,-0.644387271352479
Pf3D7_04_v3:490442-493375,-1.3830851678881992
Pf3D7_04_v3:499168-503880,-0.5287275771543994
Pf3D7_04_v3:505933-509670,-0.8899257715502984
Pf3D7_04_v3:510380-512548,-1.0211046621104984
Pf3D7_04_v3:513154-517068,-0.589032954984166
Pf3D7_04_v3:518685-519101,
Pf3D7_04_v3:519832-525618,-0.9656644823775137
Pf3D7_04_v3:528192-534485,0.13863563973179507
Pf3D7_04_v3:536774-539110,-0.31901757121370183
Pf3D7_04_v3:540188-541198,-0.5747510531120715
Pf3D7_04_v3:541811-542809,0.8856626024212824
Pf3D7_04_v3:543625-545247,0.16688548591964486
Pf3D7_04_v3:615356-616243,
Pf3D7_04_v3:616914-618350,
Pf3D7_04_v3:622094-622936,
Pf3D7_04_v3:623168-626226,-1.5276811849503038
Pf3D7_04_v3:626891-633126,-1.1688496866324203
Pf3D7_04_v3:634029-638905,0.7257078912965972
Pf3D7_04_v3:647389-648388,1.3537894680367386
Pf3D7_04_v3:649893-650731,
Pf3D7_04_v3:655025-657314,
Pf3D7_04_v3:660624-662519,-0.5163346791364476
Pf3D7_04_v3:665973-668147,
Pf3D7_04_v3:668578-669717,
Pf3D7_04_v3:670883-672124,
Pf3D7_04_v3:672500-679138,-0.7512437482875537
Pf3D7_04_v3:681810-685968,-0.044321171383575136
Pf3D7_04_v3:691131-692516,-1.261145581227877
Pf3D7_04_v3:693906-696533,-1.3031392154796873
Pf3D7_04_v3:701526-704162,
Pf3D7_04_v3:709460-710083,
Pf3D7_04_v3:711092-715489,
Pf3D7_04_v3:723073-724242,
Pf3D7_04_v3:726265-727128,
Pf3D7_04_v3:732452-739872,-1.264685837998724
Pf3D7_04_v3:742149-743091,
Pf3D7_04_v3:743611-745637,
Pf3D7_04_v3:748088-749914,
Pf3D7_04_v3:750860-753712,
Pf3D7_04_v3:756294-776603,-0.5154785707147408
Pf3D7_04_v3:780250-783246,
Pf3D7_04_v3:787243-789342,-0.5164169494627256
Pf3D7_04_v3:790724-792985,-0.5093054389733642
Pf3D7_04_v3:793827-810070,0.49754142268500295
Pf3D7_04_v3:810995-814642,-0.08540808047135964
Pf3D7_04_v3:817400-818689,
Pf3D7_04_v3:819362-822340,-0.8152772145533083
Pf3D7_04_v3:829963-830594,
Pf3D7_04_v3:830989-832428,
Pf3D7_04_v3:834394-840429,-0.8728860329856778
Pf3D7_04_v3:843562-845169,
Pf3D7_04_v3:847231-849059,-1.1807967770357561
Pf3D7_04_v3:849793-852242,
Pf3D7_04_v3:852510-853566,
Pf3D7_04_v3:857998-865957,-1.0828727229329087
Pf3D7_04_v3:866501-868111,
Pf3D7_04_v3:873138-874115,
Pf3D7_04_v3:874811-875521,
Pf3D7_04_v3:878022-893866,-0.44160844351830186
Pf3D7_04_v3:894612-904724,-0.842117119715662
Pf3D7_04_v3:907056-908801,1.7662664042637164
Pf3D7_04_v3:910187-911971,0.013915211961117618
Pf3D7_04_v3:917990-928411,-0.7536187069854008
Pf3D7_04_v3:929340-930140,1.6266226159467703
Pf3D7_04_v3:932463-934244,-0.13838688200647106
Pf3D7_04_v3:987842-994360,0.7640178030665827
Pf3D7_04_v3:995998-996252,
Pf3D7_04_v3:997240-997455,
Pf3D7_04_v3:998647-1000185,1.48635693901585
Pf3D7_04_v3:1001613-1002770,
Pf3D7_04_v3:1004462-1017247,-0.40738503390236597
Pf3D7_04_v3:1026648-1027399,
Pf3D7_04_v3:1029329-1037953,-0.4320734202732922
Pf3D7_04_v3:1042564-1044896,0.654880430692677
Pf3D7_04_v3:1047696-1048478,
Pf3D7_04_v3:1050407-1050974,
Pf3D7_04_v3:1051576-1053006,
Pf3D7_04_v3:1061790-1066628,-1.2131677929406603
Pf3D7_04_v3:1071435-1071845,
Pf3D7_04_v3:1076347-1077534,
Pf3D7_04_v3:1077926-1078488,
Pf3D7_04_v3:1080959-1082189,-1.3434736869197568
Pf3D7_04_v3:1082363-1084150,1.0970536441261889
Pf3D7_04_v3:1085979-1091277,-1.0596449161795651
Pf3D7_04_v3:1099811-1107111,1.6512565565487913
Pf3D7_04_v3:1110060-1112293,-1.2528533789563259
Pf3D7_04_v3:1113345-1114486,0.1351899995376817
Pf3D7_04_v3:1123986-1125004,
Pf3D7_05_v3:43327-47761,-1.4022975626440088
Pf3D7_05_v3:50422-52510,-1.3828844923662094
Pf3D7_05_v3:55841-56872,-0.28803575947898297
Pf3D7_05_v3:58037-59726,0.7587534267928588
Pf3D7_05_v3:64065-65489,-0.3589289780527725
Pf3D7_05_v3:68930-70113,
Pf3D7_05_v3:74509-79842,
Pf3D7_05_v3:84041-85237,1.1029016313182431
Pf3D7_05_v3:86820-89201,
Pf3D7_05_v3:91361-94591,-0.29350305900044715
Pf3D7_05_v3:95161-96633,-1.4173500270305206
Pf3D7_05_v3:97657-101895,-1.5858853356297864
Pf3D7_05_v3:102193-102897,
Pf3D7_05_v3:104256-105737,-1.1875599765114078
Pf3D7_05_v3:107075-107938,
Pf3D7_05_v3:116451-119969,-0.5079274546251592
Pf3D7_05_v3:122449-122862,
Pf3D7_05_v3:123332-123904,
Pf3D7_05_v3:125116-126514,
Pf3D7_05_v3:127064-128677,-1.6409723989455178
Pf3D7_05_v3:130453-133392,-0.6626447421381071
Pf3D7_05_v3:142871-145423,-0.10970071464753338
Pf3D7_05_v3:146639-150131,-0.8731325070238137
Pf3D7_05_v3:151422-152384,
Pf3D7_05_v3:153889-156057,-0.11208567090316826
Pf3D7_05_v3:157625-164968,-1.2276890261437652
Pf3D7_05_v3:167649-169502,0.3135281979490744
Pf3D7_05_v3:180421-187470,-1.882825228538627
Pf3D7_05_v3:187813-204732,-1.088102456235173
Pf3D7_05_v3:206450-208375,
Pf3D7_05_v3:209062-218189,-1.2049673228524043
Pf3D7_05_v3:220839-229253,-1.0892722666095769
Pf3D7_05_v3:230695-232392,
Pf3D7_05_v3:233815-235650,
Pf3D7_05_v3:236143-238365,
Pf3D7_05_v3:239456-243880,-0.6888667368477299
Pf3D7_05_v3:245933-246934,
Pf3D7_05_v3:247801-250575,-1.4443565769825397
Pf3D7_05_v3:254473-255517,
Pf3D7_05_v3:256225-257378,
Pf3D7_05_v3:260961-262184,
Pf3D7_05_v3:265595-278345,-1.4218712281621315
Pf3D7_05_v3:280886-283345,-1.3467375339368912
Pf3D7_05_v3:284691-288023,-0.997934777325936
