"Gene ID","source_id","Organism","Ortholog count","Paralog count","Ortholog Group","Genomic Location (Gene)"
"PF3D7_0105300","PF3D7_0105300.1","Plasmodium falciparum 3D7","61","0","OG6_101374","Pf3D7_01_v3:224,638..226,017(-)"
"PF3D7_0105400","PF3D7_0105400.1","Plasmodium falciparum 3D7","54","0","OG6_533750","Pf3D7_01_v3:226,036..227,419(-)"
"PF3D7_0105400","PF3D7_0105400.2","Plasmodium falciparum 3D7","54","0","OG6_533750","Pf3D7_01_v3:226,036..227,419(-)"
"PF3D7_0105500","PF3D7_0105500.1","Plasmodium falciparum 3D7","60","0","OG6_139478","Pf3D7_01_v3:228,485..229,519(-)"
"PF3D7_0105600","PF3D7_0105600.1","Plasmodium falciparum 3D7","63","0","OG6_105981","Pf3D7_01_v3:229,943..234,464(-)"
"PF3D7_0105700","PF3D7_0105700.1","Plasmodium falciparum 3D7","21","0","OG6_533614","Pf3D7_01_v3:236,742..248,183(+)"
"PF3D7_0105800","PF3D7_0105800.1","Plasmodium falciparum 3D7","120","1","OG6_100899","Pf3D7_01_v3:248,434..253,057(-)"
"PF3D7_0105900","PF3D7_0105900.1","Plasmodium falciparum 3D7","62","0","OG6_106571","Pf3D7_01_v3:253,089..255,771(+)"
"PF3D7_0106000","PF3D7_0106000.1","Plasmodium falciparum 3D7","75","0","OG6_122704","Pf3D7_01_v3:255,113..258,624(-)"
"PF3D7_0106100","PF3D7_0106100.1","Plasmodium falciparum 3D7","60","0","OG6_101992","Pf3D7_01_v3:260,105..262,008(-)"
"PF3D7_0106200","PF3D7_0106200.1","Plasmodium falciparum 3D7","60","0","OG6_533672","Pf3D7_01_v3:262,750..264,323(-)"
"PF3D7_0106300","PF3D7_0106300.1","Plasmodium falciparum 3D7","122","1","OG6_100158","Pf3D7_01_v3:264,487..270,234(-)"
"PF3D7_0106400","PF3D7_0106400.1","Plasmodium falciparum 3D7","61","0","OG6_103365","Pf3D7_01_v3:272,296..273,701(+)"
"PF3D7_0106500","PF3D7_0106500.1","Plasmodium falciparum 3D7","25","0","OG6_532869","Pf3D7_01_v3:274,094..278,747(+)"
"PF3D7_0106600","PF3D7_0106600.1","Plasmodium falciparum 3D7","27","0","OG6_532741","Pf3D7_01_v3:279,115..280,014(+)"
"PF3D7_0106700","PF3D7_0106700.1","Plasmodium falciparum 3D7","59","0","OG6_102112","Pf3D7_01_v3:280,595..285,875(+)"
"PF3D7_0106800","PF3D7_0106800.1","Plasmodium falciparum 3D7","59","0","OG6_100743","Pf3D7_01_v3:286,637..289,063(+)"
"PF3D7_0106900","PF3D7_0106900.1","Plasmodium falciparum 3D7","59","0","OG6_103820","Pf3D7_01_v3:289,849..292,802(+)"
"PF3D7_0107000","PF3D7_0107000.1","Plasmodium falciparum 3D7","119","1","OG6_101416","Pf3D7_01_v3:293,262..295,139(+)"
"PF3D7_0107100","PF3D7_0107100.1","Plasmodium falciparum 3D7","52","0","OG6_532903","Pf3D7_01_v3:295,177..296,959(-)"
"PF3D7_0107200","PF3D7_0107200.1","Plasmodium falciparum 3D7","59","0","OG6_132868","Pf3D7_01_v3:297,189..299,513(+)"
"PF3D7_0107300","PF3D7_0107300.1","Plasmodium falciparum 3D7","29","0","OG6_532768","Pf3D7_01_v3:299,464..301,151(-)"
"PF3D7_0107400","PF3D7_0107400.1","Plasmodium falciparum 3D7","61","0","OG6_139433","Pf3D7_01_v3:302,509..304,236(+)"
"PF3D7_0107500","PF3D7_0107500.1","Plasmodium falciparum 3D7","54","0","OG6_102973","Pf3D7_01_v3:303,437..311,928(-)"
"PF3D7_0107600","PF3D7_0107600.1","Plasmodium falciparum 3D7","16","0","OG6_532337","Pf3D7_01_v3:313,824..319,525(+)"
"PF3D7_0107700","PF3D7_0107700.1","Plasmodium falciparum 3D7","61","0","OG6_533088","Pf3D7_01_v3:320,168..321,508(+)"
"PF3D7_0107800","PF3D7_0107800.1","Plasmodium falciparum 3D7","61","0","OG6_101854","Pf3D7_01_v3:321,757..326,180(+)"
"PF3D7_0107900","PF3D7_0107900.1","Plasmodium falciparum 3D7","55","0","OG6_532383","Pf3D7_01_v3:326,323..327,365(-)"
"PF3D7_0108000","PF3D7_0108000.1","Plasmodium falciparum 3D7","62","0","OG6_101970","Pf3D7_01_v3:328,171..329,995(-)"
"PF3D7_0108100","PF3D7_0108100.1","Plasmodium falciparum 3D7","61","0","OG6_139434","Pf3D7_01_v3:330,597..332,834(+)"
"PF3D7_0108300","PF3D7_0108300.1","Plasmodium falciparum 3D7","17","0","OG6_533181","Pf3D7_01_v3:334,374..344,369(+)"
"PF3D7_0108400","PF3D7_0108400.1","Plasmodium falciparum 3D7","61","0","OG6_107804","Pf3D7_01_v3:344,373..347,320(-)"
"PF3D7_0108400","PF3D7_0108400.2","Plasmodium falciparum 3D7","61","0","OG6_107804","Pf3D7_01_v3:344,373..347,320(-)"
"PF3D7_0108500","PF3D7_0108500.1","Plasmodium falciparum 3D7","45","0","OG6_160333","Pf3D7_01_v3:347,246..350,568(+)"
"PF3D7_0108600","PF3D7_0108600.1","Plasmodium falciparum 3D7","61","0","OG6_139454","Pf3D7_01_v3:348,892..351,747(-)"
"PF3D7_0108700","PF3D7_0108700.1","Plasmodium falciparum 3D7","30","0","OG6_170441","Pf3D7_01_v3:351,787..356,984(-)"
"PF3D7_0108800","PF3D7_0108800.1","Plasmodium falciparum 3D7","57","0","OG6_174152","Pf3D7_01_v3:357,279..360,804(+)"
"PF3D7_0109000","PF3D7_0109000.1","Plasmodium falciparum 3D7","59","0","OG6_215312","Pf3D7_01_v3:362,217..365,209(+)"
"PF3D7_0109100","PF3D7_0109100.1","Plasmodium falciparum 3D7","120","1","OG6_119366","Pf3D7_01_v3:365,266..369,336(+)"
"PF3D7_0109200","PF3D7_0109200.1","Plasmodium falciparum 3D7","59","0","OG6_102904","Pf3D7_01_v3:369,251..370,907(-)"
"PF3D7_0109300","PF3D7_0109300.1","Plasmodium falciparum 3D7","60","0","OG6_100813","Pf3D7_01_v3:371,146..373,063(-)"
"PF3D7_0109400","PF3D7_0109400.1","Plasmodium falciparum 3D7","61","0","OG6_102635","Pf3D7_01_v3:373,864..375,683(-)"
"PF3D7_0109500","PF3D7_0109500.1","Plasmodium falciparum 3D7","61","0","OG6_102129","Pf3D7_01_v3:376,164..377,704(-)"
"PF3D7_0109600","PF3D7_0109600.1","Plasmodium falciparum 3D7","60","0","OG6_153913","Pf3D7_01_v3:377,795..378,599(-)"
"PF3D7_0109700","PF3D7_0109700.1","Plasmodium falciparum 3D7","60","0","OG6_103080","Pf3D7_01_v3:378,653..380,086(-)"
"PF3D7_0109800","PF3D7_0109800.1","Plasmodium falciparum 3D7","61","0","OG6_100669","Pf3D7_01_v3:380,254..382,568(+)"
"PF3D7_0109850","PF3D7_0109850.1","Plasmodium falciparum 3D7","55","0","OG6_103187","Pf3D7_01_v3:383,092..386,632(+)"
"PF3D7_0109950","PF3D7_0109950.1","Plasmodium falciparum 3D7","53","0","OG6_149545","Pf3D7_01_v3:386,708..388,186(+)"
"PF3D7_0110000","PF3D7_0110000.1","Plasmodium falciparum 3D7","56","0","OG6_532923","Pf3D7_01_v3:388,192..389,559(+)"
"PF3D7_0110100","PF3D7_0110100.1","Plasmodium falciparum 3D7","59","0","OG6_103847","Pf3D7_01_v3:388,887..392,185(-)"
"PF3D7_0110200","PF3D7_0110200.1","Plasmodium falciparum 3D7","60","0","OG6_101299","Pf3D7_01_v3:392,323..393,620(+)"
"PF3D7_0110400","PF3D7_0110400.1","Plasmodium falciparum 3D7","61","0","OG6_102455","Pf3D7_01_v3:393,695..395,222(-)"
"PF3D7_0110500","PF3D7_0110500.1","Plasmodium falciparum 3D7","28","0","OG6_532831","Pf3D7_01_v3:396,580..403,838(+)"
"PF3D7_0110600","PF3D7_0110600.1","Plasmodium falciparum 3D7","58","0","OG6_100438","Pf3D7_01_v3:405,007..412,453(+)"
"PF3D7_0110700","PF3D7_0110700.1","Plasmodium falciparum 3D7","122","1","OG6_101102","Pf3D7_01_v3:413,076..417,001(-)"
"PF3D7_0110800","PF3D7_0110800.1","Plasmodium falciparum 3D7","63","0","OG6_101024","Pf3D7_01_v3:417,254..420,218(+)"
"PF3D7_0110900","PF3D7_0110900.1","Plasmodium falciparum 3D7","61","0","OG6_101453","Pf3D7_01_v3:419,727..420,942(-)"
"PF3D7_0111000","PF3D7_0111000.1","Plasmodium falciparum 3D7","67","0","OG6_100835","Pf3D7_01_v3:421,025..428,878(-)"
"PF3D7_0111200","PF3D7_0111200.1","Plasmodium falciparum 3D7","60","0","OG6_139473","Pf3D7_01_v3:429,849..430,879(-)"
"PF3D7_0111300","PF3D7_0111300.1","Plasmodium falciparum 3D7","61","0","OG6_102931","Pf3D7_01_v3:431,167..436,457(-)"
"PF3D7_0111400","PF3D7_0111400.1","Plasmodium falciparum 3D7","37","0","OG6_532753","Pf3D7_01_v3:436,179..439,368(+)"
"PF3D7_0111500","PF3D7_0111500.1","Plasmodium falciparum 3D7","60","0","OG6_100591","Pf3D7_01_v3:439,395..442,195(-)"
"PF3D7_0111600","PF3D7_0111600.1","Plasmodium falciparum 3D7","57","0","OG6_532403","Pf3D7_01_v3:442,380..443,473(-)"
"PF3D7_0111700","PF3D7_0111700.1","Plasmodium falciparum 3D7","58","0","OG6_160719","Pf3D7_01_v3:443,476..444,682(-)"
"PF3D7_0111800","PF3D7_0111800.1","Plasmodium falciparum 3D7","59","0","OG6_101698","Pf3D7_01_v3:444,710..449,954(+)"
"PF3D7_0111900","PF3D7_0111900.1","Plasmodium falciparum 3D7","53","0","OG6_104453","Pf3D7_01_v3:449,966..450,646(-)"
"PF3D7_0112000","PF3D7_0112000.1","Plasmodium falciparum 3D7","60","0","OG6_100330","Pf3D7_01_v3:450,831..453,195(-)"
"PF3D7_0112100","PF3D7_0112100.1","Plasmodium falciparum 3D7","57","0","OG6_532648","Pf3D7_01_v3:454,847..455,338(+)"
"PF3D7_0112200","PF3D7_0112200.1","Plasmodium falciparum 3D7","114","1","OG6_100026","Pf3D7_01_v3:463,764..471,891(+)"
"PF3D7_0112800","PF3D7_0112800.1","Plasmodium falciparum 3D7","217","3","OG6_158824","Pf3D7_01_v3:481,231..483,218(-)"
"PF3D7_0112900","PF3D7_0112900.1","Plasmodium falciparum 3D7","26","0","OG6_532929","Pf3D7_01_v3:483,603..487,841(+)"
"PF3D7_0113000","PF3D7_0113000.1","Plasmodium falciparum 3D7","21","0","OG6_533518","Pf3D7_01_v3:487,239..490,901(-)"
"PF3D7_0113100","PF3D7_0113100.1","Plasmodium falciparum 3D7","656","6","OG6_134606","Pf3D7_01_v3:494,941..500,347(+)"
"PF3D7_0113200","PF3D7_0113200.1","Plasmodium falciparum 3D7","27","0","OG6_211555","Pf3D7_01_v3:500,888..503,795(-)"
"PF3D7_0113300","PF3D7_0113300.1","Plasmodium falciparum 3D7","28","0","OG6_112098","Pf3D7_01_v3:504,339..507,459(-)"
"PF3D7_0113400","PF3D7_0113400.1","Plasmodium falciparum 3D7","26","0","OG6_533607","Pf3D7_01_v3:507,977..510,158(-)"
"PF3D7_0113700","PF3D7_0113700.1","Plasmodium falciparum 3D7","186","3","OG6_100302","Pf3D7_01_v3:519,766..523,106(+)"
"PF3D7_0113800","PF3D7_0113800.1","Plasmodium falciparum 3D7","2211","65","OG6_104345","Pf3D7_01_v3:526,530..536,562(+)"
"PF3D7_0113900","PF3D7_0113900.1","Plasmodium falciparum 3D7","53","1","OG6_215313","Pf3D7_01_v3:536,783..538,156(-)"
"PF3D7_0114000","PF3D7_0114000.1","Plasmodium falciparum 3D7","190","9","OG6_126097","Pf3D7_01_v3:541,805..547,544(+)"
"PF3D7_0114100","PF3D7_0114100.1","Plasmodium falciparum 3D7","209","11","OG6_122335","Pf3D7_01_v3:547,245..548,669(-)"
"PF3D7_0114200","PF3D7_0114200.1","Plasmodium falciparum 3D7","145","8","OG6_128718","Pf3D7_01_v3:550,576..551,713(-)"
"PF3D7_0114500","PF3D7_0114500.1","Plasmodium falciparum 3D7","94","1","OG6_215314","Pf3D7_01_v3:557,700..558,946(-)"
"PF3D7_0114700","PF3D7_0114700.1","Plasmodium falciparum 3D7","4601","156","OG6_100719","Pf3D7_01_v3:563,703..564,842(-)"
"PF3D7_0114750","PF3D7_0114750.1","Plasmodium falciparum 3D7","906","26","OG6_110760","Pf3D7_01_v3:566,515..566,691(-)"
"PF3D7_0114800","PF3D7_0114800.1","Plasmodium falciparum 3D7","71","1","OG6_215315","Pf3D7_01_v3:569,485..570,272(-)"
"PF3D7_0115000","PF3D7_0115000.1","Plasmodium falciparum 3D7","656","6","OG6_134606","Pf3D7_01_v3:577,704..583,789(+)"
"PF3D7_0115100","PF3D7_0115100.1","Plasmodium falciparum 3D7","74","2","OG6_179324","Pf3D7_01_v3:587,391..588,394(+)"
"PF3D7_0115200","PF3D7_0115200.1","Plasmodium falciparum 3D7","4601","156","OG6_100719","Pf3D7_01_v3:591,849..593,187(+)"
"PF3D7_0115300","PF3D7_0115300.1","Plasmodium falciparum 3D7","4601","156","OG6_100719","Pf3D7_01_v3:595,102..596,273(+)"
"PF3D7_0115400","PF3D7_0115400.1","Plasmodium falciparum 3D7","871","30","OG6_109391","Pf3D7_01_v3:598,465..599,472(+)"
"PF3D7_0115600","PF3D7_0115600.1","Plasmodium falciparum 3D7","4601","156","OG6_100719","Pf3D7_01_v3:604,162..605,531(+)"
"PF3D7_0115700","PF3D7_0115700.1","Plasmodium falciparum 3D7","2211","65","OG6_104345","Pf3D7_01_v3:607,390..614,893(-)"
"PF3D7_0200100","PF3D7_0200100.1","Plasmodium falciparum 3D7","2211","65","OG6_104345","Pf3D7_02_v3:25,232..31,168(+)"
"PF3D7_0200200","PF3D7_0200200.1","Plasmodium falciparum 3D7","4601","156","OG6_100719","Pf3D7_02_v3:33,030..34,259(-)"
"PF3D7_0200300","PF3D7_0200300.1","Plasmodium falciparum 3D7","2211","65","OG6_104345","Pf3D7_02_v3:35,927..37,249(-)"
"PF3D7_0200400","PF3D7_0200400.1","Plasmodium falciparum 3D7","871","30","OG6_109391","Pf3D7_02_v3:38,287..39,303(-)"
"PF3D7_0200500","PF3D7_0200500.1","Plasmodium falciparum 3D7","4601","156","OG6_100719","Pf3D7_02_v3:41,515..42,858(-)"
"PF3D7_0200600","PF3D7_0200600.1","Plasmodium falciparum 3D7","4601","156","OG6_100719","Pf3D7_02_v3:45,286..46,558(-)"
"PF3D7_0200700","PF3D7_0200700.1","Plasmodium falciparum 3D7","4601","156","OG6_100719","Pf3D7_02_v3:48,923..50,147(-)"
"PF3D7_0201000","PF3D7_0201000.1","Plasmodium falciparum 3D7","4601","156","OG6_100719","Pf3D7_02_v3:57,344..58,421(-)"
"PF3D7_0201100","PF3D7_0201100.1","Plasmodium falciparum 3D7","906","26","OG6_110760","Pf3D7_02_v3:60,107..60,319(-)"
"PF3D7_0201200","PF3D7_0201200.1","Plasmodium falciparum 3D7","4601","156","OG6_100719","Pf3D7_02_v3:63,157..64,376(+)"
"PF3D7_0201300","PF3D7_0201300.1","Plasmodium falciparum 3D7","871","30","OG6_109391","Pf3D7_02_v3:66,529..67,545(+)"
"PF3D7_0201400","PF3D7_0201400.1","Plasmodium falciparum 3D7","94","1","OG6_215314","Pf3D7_02_v3:69,088..69,771(+)"
"PF3D7_0201500","PF3D7_0201500.1","Plasmodium falciparum 3D7","123","4","OG6_149546","Pf3D7_02_v3:72,155..76,714(-)"
"PF3D7_0201600","PF3D7_0201600.1","Plasmodium falciparum 3D7","232","7","OG6_131849","Pf3D7_02_v3:76,725..79,448(-)"
"PF3D7_0201700","PF3D7_0201700.1","Plasmodium falciparum 3D7","254","7","OG6_131931","Pf3D7_02_v3:80,851..84,937(-)"
"PF3D7_0201800","PF3D7_0201800.1","Plasmodium falciparum 3D7","186","3","OG6_100302","Pf3D7_02_v3:86,183..89,482(-)"
"PF3D7_0201900","PF3D7_0201900.1","Plasmodium falciparum 3D7","33","0","OG6_121489","Pf3D7_02_v3:90,205..100,157(-)"
"PF3D7_0202000","PF3D7_0202000.1","Plasmodium falciparum 3D7","28","0","OG6_533590","Pf3D7_02_v3:102,137..106,662(-)"
"PF3D7_0202100","PF3D7_0202100.1","Plasmodium falciparum 3D7","187","1","OG6_215316","Pf3D7_02_v3:108,217..111,658(-)"
"PF3D7_0202200","PF3D7_0202200.1","Plasmodium falciparum 3D7","26","0","OG6_533402","Pf3D7_02_v3:111,818..115,064(-)"
"PF3D7_0202300","PF3D7_0202300.1","Plasmodium falciparum 3D7","217","3","OG6_158824","Pf3D7_02_v3:117,033..118,455(+)"
"PF3D7_0202400","PF3D7_0202400.1","Plasmodium falciparum 3D7","29","0","OG6_168446","Pf3D7_02_v3:118,835..125,090(+)"
"PF3D7_0202500","PF3D7_0202500.1","Plasmodium falciparum 3D7","282","5","OG6_141182","Pf3D7_02_v3:127,203..129,089(+)"
"PF3D7_0202600","PF3D7_0202600.1","Plasmodium falciparum 3D7","37","0","OG6_109478","Pf3D7_02_v3:129,336..134,329(-)"
"PF3D7_0202600","PF3D7_0202600.2","Plasmodium falciparum 3D7","37","0","OG6_109478","Pf3D7_02_v3:129,336..134,329(-)"
"PF3D7_0202700","PF3D7_0202700.1","Plasmodium falciparum 3D7","57","0","OG6_100316","Pf3D7_02_v3:134,779..137,615(+)"
"PF3D7_0202800","PF3D7_0202800.1","Plasmodium falciparum 3D7","57","0","OG6_533662","Pf3D7_02_v3:137,155..141,252(-)"
"PF3D7_0202900","PF3D7_0202900.1","Plasmodium falciparum 3D7","44","0","OG6_103790","Pf3D7_02_v3:138,621..141,266(+)"
"PF3D7_0203000","PF3D7_0203000.1","Plasmodium falciparum 3D7","94","1","OG6_112372","Pf3D7_02_v3:141,269..148,515(-)"
"PF3D7_0203100","PF3D7_0203100.1","Plasmodium falciparum 3D7","20","0","OG6_100860","Pf3D7_02_v3:148,914..157,296(-)"
"PF3D7_0203200","PF3D7_0203200.1","Plasmodium falciparum 3D7","43","0","OG6_532384","Pf3D7_02_v3:157,937..159,891(-)"
"PF3D7_0203300","PF3D7_0203300.1","Plasmodium falciparum 3D7","61","0","OG6_102832","Pf3D7_02_v3:160,393..161,450(+)"
"PF3D7_0203400","PF3D7_0203400.1","Plasmodium falciparum 3D7","61","0","OG6_148528","Pf3D7_02_v3:161,491..163,864(-)"
"PF3D7_0203600","PF3D7_0203600.1","Plasmodium falciparum 3D7","60","0","OG6_533151","Pf3D7_02_v3:165,912..168,559(+)"
"PF3D7_0203700","PF3D7_0203700.1","Plasmodium falciparum 3D7","62","0","OG6_102084","Pf3D7_02_v3:168,580..170,767(-)"
"PF3D7_0203800","PF3D7_0203800.1","Plasmodium falciparum 3D7","63","0","OG6_110041","Pf3D7_02_v3:171,277..175,196(-)"
"PF3D7_0203900","PF3D7_0203900.1","Plasmodium falciparum 3D7","117","1","OG6_101669","Pf3D7_02_v3:176,370..178,737(+)"
"PF3D7_0204000","PF3D7_0204000.1","Plasmodium falciparum 3D7","55","0","OG6_533217","Pf3D7_02_v3:178,955..181,941(+)"
"PF3D7_0204100","PF3D7_0204100.1","Plasmodium falciparum 3D7","59","0","OG6_533193","Pf3D7_02_v3:181,749..189,877(-)"
"PF3D7_0204200","PF3D7_0204200.1","Plasmodium falciparum 3D7","61","0","OG6_142647","Pf3D7_02_v3:192,755..194,248(+)"
"PF3D7_0204300","PF3D7_0204300.1","Plasmodium falciparum 3D7","54","0","OG6_533139","Pf3D7_02_v3:194,272..197,151(-)"
"PF3D7_0204400","PF3D7_0204400.1","Plasmodium falciparum 3D7","58","0","OG6_105070","Pf3D7_02_v3:197,153..198,043(-)"
"PF3D7_0204500","PF3D7_0204500.1","Plasmodium falciparum 3D7","63","0","OG6_100337","Pf3D7_02_v3:198,353..199,613(-)"
"PF3D7_0204600","PF3D7_0204600.1","Plasmodium falciparum 3D7","59","0","OG6_533505","Pf3D7_02_v3:199,889..204,454(-)"
"PF3D7_0204700","PF3D7_0204700.1","Plasmodium falciparum 3D7","64","0","OG6_100060","Pf3D7_02_v3:204,784..207,425(-)"
"PF3D7_0204800","PF3D7_0204800.1","Plasmodium falciparum 3D7","59","0","OG6_109411","Pf3D7_02_v3:209,149..211,029(-)"
"PF3D7_0204900","PF3D7_0204900.1","Plasmodium falciparum 3D7","59","0","OG6_101003","Pf3D7_02_v3:211,067..212,635(+)"
"PF3D7_0205000","PF3D7_0205000.1","Plasmodium falciparum 3D7","22","0","OG6_532319","Pf3D7_02_v3:212,672..214,714(-)"
"PF3D7_0205100","PF3D7_0205100.1","Plasmodium falciparum 3D7","30","0","OG6_532793","Pf3D7_02_v3:214,838..217,843(-)"
"PF3D7_0205200","PF3D7_0205200.1","Plasmodium falciparum 3D7","60","0","OG6_103378","Pf3D7_02_v3:217,882..218,907(-)"
"PF3D7_0205300","PF3D7_0205300.1","Plasmodium falciparum 3D7","44","0","OG6_533421","Pf3D7_02_v3:219,690..222,256(+)"
"PF3D7_0205400","PF3D7_0205400.1","Plasmodium falciparum 3D7","61","0","OG6_101860","Pf3D7_02_v3:222,830..225,455(+)"
"PF3D7_0205500","PF3D7_0205500.1","Plasmodium falciparum 3D7","61","0","OG6_102742","Pf3D7_02_v3:225,212..226,438(-)"
"PF3D7_0205600","PF3D7_0205600.1","Plasmodium falciparum 3D7","61","0","OG6_171439","Pf3D7_02_v3:227,756..230,583(+)"
