GENE	TRANS	NAME	NS	SYN	FFD	TOTAL_CODING_LENGTH	PROP_NS	PROP_SYN	PROP_FFD	STOP_CODONS	FULL_LENGTH	COORD	variable	value	ID	coding_length_adj
PF3D7_1234900	PF3D7_1234900.1	CHCH domain-containing protein, putative	357.8333333	98.16666667	61	456	0.784722222	0.215277778	0.13377193	1	950	location=Pf3D7_12_v3:1458233-1459182(+)	6	0.7435897435897436	PF3D7_1234900	339.0769230769231
PF3D7_0826700	PF3D7_0826700.1	receptor for activated c kinase	755.6666667	216.3333333	130	972	0.777434842	0.222565158	0.133744856	1	1545	location=Pf3D7_08_v3:1160164-1161708(-)	5	0.5087108013937283	PF3D7_0826700	494.4668989547039
PF3D7_1465900	PF3D7_1465900.1	40S ribosomal protein S3	509.8333333	156.1666667	89	666	0.765515516	0.234484484	0.133633634	1	1394	location=Pf3D7_14_v3:2684141-2685534(+)	6	0.4146341463414634	PF3D7_1465900	276.1463414634146
PF3D7_1246200	PF3D7_1246200.1	actin I	876.5	254.5	151	1131	0.774977896	0.225022104	0.133510168	1	1131	location=Pf3D7_12_v3:1920784-1921914(+)	6	0.3905109489051095	PF3D7_1246200	441.6678832116789
PF3D7_1473600	PF3D7_1473600.1	conserved Plasmodium protein, unknown function	266.3333333	78.66666667	46	345	0.771980676	0.228019324	0.133333333	1	345	location=Pf3D7_14_v3:2997600-2997944(-)	1	0.8289473684210527	PF3D7_1473600	285.9868421052632
PF3D7_1003100	PF3D7_1003100.1	respiratory chain complex 4 associated protein 3	221.0	64.0	38	285	0.775438596	0.224561404	0.133333333	1	601	location=Pf3D7_10_v3:147639-148239(+)	1	0.8333333333333334	PF3D7_1003100	237.5
PF3D7_1420000	PF3D7_1420000.1	splicing factor 3B subunit 4, putative	1128.333333	326.6666667	194	1455	0.775486827	0.224513173	0.133333333	1	1870	location=Pf3D7_14_v3:828904-830773(-)	6	0.7456896551724138	PF3D7_1420000	1084.978448275862
PF3D7_1475800	PF3D7_1475800.1	conserved Plasmodium protein, unknown function	721.3333333	208.6666667	124	930	0.77562724	0.22437276	0.133333333	1	996	location=Pf3D7_14_v3:3120854-3121849(+)	3	0.8715083798882681	PF3D7_1475800	810.5027932960894
PF3D7_1132800	PF3D7_1132800.1	aquaglyceroporin	599.1666667	177.8333333	103	777	0.771128271	0.228871729	0.132561133	1	777	location=Pf3D7_11_v3:1271204-1271980(+)	3	0.7874015748031497	PF3D7_1132800	611.8110236220473
PF3D7_0517000	PF3D7_0517000.1	60S ribosomal protein L12, putative	388.1666667	109.8333333	66	498	0.779451138	0.220548862	0.13253012	1	911	location=Pf3D7_05_v3:715765-716675(-)	4	0.7699115044247787	PF3D7_0517000	383.4159292035398
PF3D7_1200500	PF3D7_1200500.1	rifin	855.8333333	254.1666667	147	1110	0.771021021	0.228978979	0.132432432	1	1307	location=Pf3D7_12_v3:43800-45106(-)	1	0.0	PF3D7_1200500	0.0
PF3D7_1209200	PF3D7_1209200.1	U6 snRNA-associated Sm-like protein LSm7, putative	255.5	71.5	43	327	0.781345566	0.218654434	0.131498471	1	707	location=Pf3D7_12_v3:427272-427978(+)	2	0.7777777777777778	PF3D7_1209200	254.33333333333334
PF3D7_0903700	PF3D7_0903700.1	alpha tubulin 1	1057.333333	304.6666667	179	1362	0.776309349	0.223690651	0.131424376	1	1901	location=Pf3D7_09_v3:175542-177442(+)	4	0.4350961538461538	PF3D7_0903700	592.6009615384614
PF3D7_0937700	PF3D7_0937700.1	rifin	857.3333333	246.6666667	145	1104	0.776570048	0.223429952	0.13134058	1	1336	location=Pf3D7_09_v3:1492373-1493708(+)	1	0.0	PF3D7_0937700	0.0
PF3D7_0823200	PF3D7_0823200.1	RNA-binding protein, putative	669.0	192.0	113	861	0.777003484	0.222996516	0.131242741	1	1218	location=Pf3D7_08_v3:1022629-1023846(-)	5	0.7822222222222223	PF3D7_0823200	673.4933333333333
PF3D7_0604200	PF3D7_0604200.1	ribosomal protein L41, mitochondrial, putative	218.8333333	63.16666667	37	282	0.776004728	0.223995272	0.131205674	1	546	location=Pf3D7_06_v3:180936-181481(+)	1	0.7301587301587301	PF3D7_0604200	205.9047619047619
PF3D7_0202500	PF3D7_0202500.1	early transcribed membrane protein 2	249.8333333	71.16666667	42	321	0.778296989	0.221703011	0.130841121	1	321	location=Pf3D7_02_v3:127994-128314(+)	1	0.7638888888888888	PF3D7_0202500	245.20833333333331
PF3D7_0115600	PF3D7_0115600.1	rifin	882.5	257.5	149	1140	0.774122807	0.225877193	0.130701754	1	1370	location=Pf3D7_01_v3:604162-605531(+)	2	0.0	PF3D7_0115600	0.0
PF3D7_1203900	PF3D7_1203900.1	ubiquitin-conjugating enzyme E2	344.5	99.5	58	444	0.775900901	0.224099099	0.130630631	1	1319	location=Pf3D7_12_v3:194144-195462(+)	4	0.7972972972972973	PF3D7_1203900	354.0
PF3D7_1324900	PF3D7_1324900.1	L-lactate dehydrogenase	738.6666667	212.3333333	124	951	0.776726253	0.223273747	0.130389064	1	951	location=Pf3D7_13_v3:1041157-1042107(+)	2	0.3434782608695652	PF3D7_1324900	326.64782608695646
PF3D7_1130200	PF3D7_1130200.1	60S ribosomal protein P0	743.5	207.5	124	951	0.781808623	0.218191377	0.130389064	1	951	location=Pf3D7_11_v3:1165221-1166171(+)	5	0.6022304832713755	PF3D7_1130200	572.7211895910781
PF3D7_1414800	PF3D7_1414800.1	small nuclear ribonucleoprotein-associated protein B, putative	473.6666667	132.3333333	79	606	0.781628163	0.218371837	0.130363036	1	918	location=Pf3D7_14_v3:599763-600680(-)	2	0.75	PF3D7_1414800	454.5
PF3D7_0816800	PF3D7_0816800.1	meiotic recombination protein DMC1, putative	811.0	233.0	136	1044	0.776819923	0.223180077	0.130268199	1	1877	location=Pf3D7_08_v3:767916-769792(-)	5	0.7692307692307693	PF3D7_0816800	803.0769230769231
PF3D7_1015600	PF3D7_1015600.1	heat shock protein 60	1358.666667	384.3333333	227	1743	0.779498948	0.220501052	0.130235227	1	1997	location=Pf3D7_10_v3:627044-629040(-)	4	0.6178343949044586	PF3D7_1015600	1076.8853503184712
PF3D7_1123900	PF3D7_1123900.1	13 kDa ribonucleoprotein-associated protein, putative	338.3333333	99.66666667	57	438	0.772450533	0.227549467	0.130136986	1	679	location=Pf3D7_11_v3:945470-946148(+)	2	0.7586206896551724	PF3D7_1123900	332.2758620689655
PF3D7_1108500	PF3D7_1108500.1	succinate--CoA ligase [ADP-forming] subunit alpha, putative	767.5	216.5	128	984	0.779979675	0.220020325	0.130081301	1	1508	location=Pf3D7_11_v3:367316-368823(+)	5	0.7381974248927039	PF3D7_1108500	726.3862660944206
PF3D7_1102800	PF3D7_1102800.1	early transcribed membrane protein 11.2	221.5	63.5	37	285	0.777192982	0.222807018	0.129824561	1	285	location=Pf3D7_11_v3:131703-131987(-)	3	0.6363636363636364	PF3D7_1102800	181.36363636363637
PF3D7_0818900	PF3D7_0818900.1	heat shock protein 70	1584.5	449.5	264	2034	0.779006883	0.220993117	0.12979351	1	2034	location=Pf3D7_08_v3:860384-862417(+)	6	0.3572984749455338	PF3D7_0818900	726.7450980392157
PF3D7_1216600	PF3D7_1216600.1	cell traversal protein for ookinetes and sporozoites	430.8333333	118.1666667	71	549	0.78476017	0.21523983	0.129326047	1	549	location=Pf3D7_12_v3:659738-660286(-)	4	0.8714285714285714	PF3D7_1216600	478.4142857142857
PF3D7_1038400	PF3D7_1038400.1	gametocyte-specific protein	22520.66667	6171.333333	3710	28692	0.784911009	0.215088991	0.129304336	1	28805	location=Pf3D7_10_v3:1519021-1547825(+)	4	0.6324786324786325	PF3D7_1038400	18147.076923076922
PF3D7_0601900	PF3D7_0601900.1	conserved Plasmodium protein, unknown function	302.3333333	84.66666667	50	387	0.781223084	0.218776916	0.129198966	1	595	location=Pf3D7_06_v3:78190-78784(+)	2	0.7702702702702703	PF3D7_0601900	298.0945945945946
PF3D7_1115100	PF3D7_1115100.1	conserved protein, unknown function	711.1666667	212.8333333	119	924	0.769660895	0.230339105	0.128787879	1	2300	location=Pf3D7_11_v3:571007-573306(-)	5	0.8211678832116789	PF3D7_1115100	758.7591240875913
PF3D7_0814200	PF3D7_0814200.1	DNA/RNA-binding protein Alba 1	570.5	176.5	96	747	0.763721553	0.236278447	0.128514056	1	747	location=Pf3D7_08_v3:687340-688086(+)	5	0.5	PF3D7_0814200	373.5
PF3D7_1144000	PF3D7_1144000.1	40S ribosomal protein S21	194.3333333	54.66666667	32	249	0.780455154	0.219544846	0.128514056	1	498	location=Pf3D7_11_v3:1755438-1755935(+)	2	0.7230769230769231	PF3D7_1144000	180.04615384615383
PF3D7_1105000	PF3D7_1105000.1	histone H4	237.8333333	74.16666667	40	312	0.762286325	0.237713675	0.128205128	1	312	location=Pf3D7_11_v3:221818-222129(-)	6	0.5955056179775281	PF3D7_1105000	185.79775280898878
PF3D7_1037300	PF3D7_1037300.1	ADP,ATP carrier protein 1	700.0	206.0	116	906	0.772626932	0.227373068	0.12803532	1	906	location=Pf3D7_10_v3:1477940-1478845(-)	3	0.6078431372549019	PF3D7_1037300	550.7058823529411
PF3D7_1252300	PF3D7_1252300.1	conserved Plasmodium protein, unknown function	201.3333333	56.66666667	33	258	0.780361757	0.219638243	0.127906977	1	387	location=Pf3D7_12_v3:2128400-2128786(-)	5	0.76	PF3D7_1252300	196.08
PF3D7_0108500	PF3D7_0108500.1	ELM2 domain-containing protein, putative	432.6666667	107.3333333	69	540	0.801234568	0.198765432	0.127777778	1	540	location=Pf3D7_01_v3:349170-349709(+)	3	0.7518796992481203	PF3D7_0108500	406.0150375939849
PF3D7_1204300	PF3D7_1204300.1	eukaryotic translation initiation factor 5A	380.3333333	105.6666667	62	486	0.782578875	0.217421125	0.127572016	1	486	location=Pf3D7_12_v3:205491-205976(-)	5	0.7342342342342343	PF3D7_1204300	356.83783783783787
PF3D7_0513300	PF3D7_0513300.1	purine nucleoside phosphorylase	572.6666667	165.3333333	94	738	0.775971093	0.224028907	0.127371274	1	738	location=Pf3D7_05_v3:569182-569919(-)	2	0.6753246753246753	PF3D7_0513300	498.38961038961037
PF3D7_0900200	PF3D7_0900200.1	rifin	878.5	252.5	144	1131	0.776746242	0.223253758	0.127320955	1	1361	location=Pf3D7_09_v3:29797-31157(-)	1	0.0	PF3D7_0900200	0.0
PF3D7_0702500	PF3D7_0702500.1	Plasmodium exported protein, unknown function	596.8333333	165.1666667	97	762	0.783245844	0.216754156	0.127296588	1	1033	location=Pf3D7_07_v3:104957-105989(-)	3	0.8682634730538922	PF3D7_0702500	661.6167664670659
PF3D7_0210100	PF3D7_0210100.1	60S ribosomal protein L37ae, putative	225.5	65.5	37	291	0.774914089	0.225085911	0.127147766	1	585	location=Pf3D7_02_v3:412275-412859(+)	6	0.7	PF3D7_0210100	203.7
PF3D7_0210100	PF3D7_0210100.2	60S ribosomal protein L37ae, putative	85.5	22.5	11	108	0.791666667	0.208333333	0.101851852	1	467	location=Pf3D7_02_v3:412275-412741(+)	6	0.7	PF3D7_0210100	75.6
PF3D7_1457200	PF3D7_1457200.1	thioredoxin 1	247.3333333	67.66666667	40	315	0.785185185	0.214814815	0.126984127	1	579	location=Pf3D7_14_v3:2343640-2344218(-)	4	0.8076923076923077	PF3D7_1457200	254.42307692307693
PF3D7_1305700	PF3D7_1305700.1	conserved Plasmodium protein, unknown function	462.6666667	128.3333333	75	591	0.78285392	0.21714608	0.126903553	1	591	location=Pf3D7_13_v3:277139-277729(+)	3	0.8511904761904762	PF3D7_1305700	503.0535714285714
PF3D7_0202000	PF3D7_0202000.1	knob-associated histidine-rich protein	1555.333333	409.6666667	249	1965	0.791518236	0.208481764	0.126717557	1	2412	location=Pf3D7_02_v3:103385-105796(-)	4	0.0	PF3D7_0202000	0.0
PF3D7_1006200	PF3D7_1006200.1	DNA/RNA-binding protein Alba 3	253.6666667	70.33333333	41	324	0.782921811	0.217078189	0.12654321	1	848	location=Pf3D7_10_v3:262150-262997(-)	5	0.8688524590163934	PF3D7_1006200	281.5081967213115
PF3D7_0813900	PF3D7_0813900.1	40S ribosomal protein S16, putative	332.8333333	102.1666667	55	435	0.7651341	0.2348659	0.126436782	1	737	location=Pf3D7_08_v3:677989-678725(-)	3	0.5217391304347826	PF3D7_0813900	226.95652173913044
PF3D7_1404300	PF3D7_1404300.1	secreted ookinete adhesive protein, putative	479.6666667	129.3333333	77	609	0.787629995	0.212370005	0.126436782	1	609	location=Pf3D7_14_v3:150000-150608(+)	3	0.7788461538461539	PF3D7_1404300	474.3173076923077
PF3D7_1116200	PF3D7_1116200.2	pyridoxine biosynthesis protein PDX2	421.8333333	124.1666667	69	546	0.772588523	0.227411477	0.126373626	1	1443	location=Pf3D7_11_v3:615744-617186(-)	4	0.7932960893854749	PF3D7_1116200	433.1396648044693
PF3D7_1116200	PF3D7_1116200.1	pyridoxine biosynthesis protein PDX2	512.3333333	147.6666667	78	660	0.776262626	0.223737374	0.118181818	1	1443	location=Pf3D7_11_v3:615744-617186(-)	4	0.7932960893854749	PF3D7_1116200	523.5754189944134
PF3D7_1332800	PF3D7_1332800.1	eukaryotic translation initiation factor 6, putative	575.8333333	168.1666667	94	744	0.773969534	0.226030466	0.126344086	1	744	location=Pf3D7_13_v3:1348779-1349522(+)	2	0.5342465753424658	PF3D7_1332800	397.47945205479454
PF3D7_1008700	PF3D7_1008700.1	tubulin beta chain	1049.333333	288.6666667	169	1338	0.784255107	0.215744893	0.126307922	1	1856	location=Pf3D7_10_v3:360625-362480(-)	6	0.4987080103359173	PF3D7_1008700	667.2713178294573
PF3D7_1022900	PF3D7_1022900.1	cytochrome c oxidase subunit ApiCOX13, putative	282.0	75.0	45	357	0.789915966	0.210084034	0.12605042	1	958	location=Pf3D7_10_v3:958939-959896(-)	4	0.8472222222222222	PF3D7_1022900	302.4583333333333
PF3D7_0831700	PF3D7_0831700.1	heat shock protein 70	1593.5	446.5	257	2040	0.781127451	0.218872549	0.125980392	1	2040	location=Pf3D7_08_v3:1365467-1367506(-)	4	0.1160220994475138	PF3D7_0831700	236.68508287292815
PF3D7_0932200	PF3D7_0932200.1	profilin	403.3333333	112.6666667	65	516	0.781653747	0.218346253	0.125968992	1	1365	location=Pf3D7_09_v3:1287008-1288372(+)	6	0.7428571428571429	PF3D7_0932200	383.31428571428575
PF3D7_0727400	PF3D7_0727400.1	proteasome subunit alpha type-5, putative	596.8333333	174.1666667	97	771	0.774102897	0.225897103	0.125810636	1	1122	location=Pf3D7_07_v3:1162710-1163831(+)	3	0.625	PF3D7_0727400	481.875
PF3D7_0316600	PF3D7_0316600.1	formate-nitrite transporter	714.6666667	215.3333333	117	930	0.768458781	0.231541219	0.125806452	1	1572	location=Pf3D7_03_v3:669302-670873(-)	6	0.7738095238095238	PF3D7_0316600	719.6428571428572
PF3D7_0718400	PF3D7_0718400.1	ribosomal protein S8, mitochondrial, putative	304.5	85.5	49	390	0.780769231	0.219230769	0.125641026	1	578	location=Pf3D7_07_v3:822438-823015(+)	3	0.6951219512195121	PF3D7_0718400	271.0975609756097
PF3D7_0304600	PF3D7_0304600.1	circumsporozoite (CS) protein	947.0	247.0	150	1194	0.793132328	0.206867672	0.125628141	1	1194	location=Pf3D7_03_v3:221323-222516(-)	4	0.8794326241134752	PF3D7_0304600	1050.0425531914893
PF3D7_0923800	PF3D7_0923800.2	thioredoxin reductase	1264.333333	361.6666667	204	1626	0.777572776	0.222427224	0.125461255	1	1626	location=Pf3D7_09_v3:961933-963558(-)	5	0.714622641509434	PF3D7_0923800	1161.9764150943397
PF3D7_0923800	PF3D7_0923800.1	thioredoxin reductase	1447.333333	406.6666667	222	1854	0.780654441	0.219345559	0.1197411	1	1854	location=Pf3D7_09_v3:961933-963786(-)	5	0.714622641509434	PF3D7_0923800	1324.9103773584907
PF3D7_0505800	PF3D7_0505800.1	small ubiquitin-related modifier	239.5	63.5	38	303	0.790429043	0.209570957	0.125412541	1	560	location=Pf3D7_05_v3:252047-252606(-)	2	0.5454545454545454	PF3D7_0505800	165.27272727272725
