,tajimas_d_ns
Pf3D7_02_v3:171563-174912,-1.3087708527693644
Pf3D7_02_v3:176567-178300,-1.8173305619432452
Pf3D7_02_v3:178955-181526,-2.43972900534904
Pf3D7_02_v3:182228-189115,-2.471434796236788
Pf3D7_02_v3:194826-196916,-2.3615542663232603
Pf3D7_02_v3:198353-199570,-1.6961135530514035
Pf3D7_02_v3:200482-204048,-2.1201490122497537
Pf3D7_02_v3:205889-207403,-1.9815671147117733
Pf3D7_02_v3:209583-210833,-2.0261000004575966
Pf3D7_02_v3:211348-212627,-2.011771605070062
Pf3D7_02_v3:212982-214508,-2.314549952474844
Pf3D7_02_v3:214838-217348,-1.9868905615718788
Pf3D7_02_v3:217882-218907,-1.7583996740828232
Pf3D7_02_v3:219690-222256,-2.2205025282191686
Pf3D7_02_v3:223478-224851,
Pf3D7_02_v3:228025-229932,-1.5835464566648134
Pf3D7_02_v3:231141-232529,-1.570779298318014
Pf3D7_02_v3:235237-238816,-2.140062843926628
Pf3D7_02_v3:239246-243796,-2.432801559025558
Pf3D7_02_v3:245358-246699,-1.6163432610850246
Pf3D7_02_v3:249030-250727,-1.308507143265148
Pf3D7_02_v3:263037-267347,-2.526186461284863
Pf3D7_02_v3:271594-273009,-1.2370399857410554
Pf3D7_02_v3:273689-274507,-0.7047191650349691
Pf3D7_02_v3:275540-276577,-1.3252198402602846
Pf3D7_02_v3:277494-278456,-0.3865412014932586
Pf3D7_02_v3:281907-287345,-2.2556286122238522
Pf3D7_02_v3:288183-288665,
Pf3D7_02_v3:290168-292703,-0.8105762232731439
Pf3D7_02_v3:294273-297616,-1.801358812576012
Pf3D7_02_v3:298897-302564,-2.2373519075691606
Pf3D7_02_v3:303593-307027,-1.1391660004023703
Pf3D7_02_v3:308847-312155,-0.6333146012370127
Pf3D7_02_v3:313449-316741,-2.368411266339872
Pf3D7_02_v3:317596-321310,-2.1026712950256274
Pf3D7_02_v3:322338-325723,-2.372259074319856
Pf3D7_02_v3:327932-335203,-2.556796642390154
Pf3D7_02_v3:335679-336581,-1.4617903051322794
Pf3D7_02_v3:337558-342966,-2.38150938327877
Pf3D7_02_v3:343308-349340,-2.4723529941092077
Pf3D7_02_v3:352836-353628,-1.3138976183989732
Pf3D7_02_v3:354621-356117,-1.58397883376489
Pf3D7_02_v3:359142-359849,-1.6727643847087834
Pf3D7_02_v3:360828-368354,-2.4798780951524453
Pf3D7_02_v3:370438-379845,-1.5511225125411248
Pf3D7_02_v3:381130-383445,-1.948510359582175
Pf3D7_02_v3:384865-386580,-1.431097453492817
Pf3D7_02_v3:387273-388151,-1.4463149012030319
Pf3D7_02_v3:388424-390611,-2.116057999198691
Pf3D7_02_v3:391275-392789,-2.139448923296465
Pf3D7_02_v3:394237-398745,-2.011875787264424
Pf3D7_02_v3:400153-401859,-1.8362409830374669
Pf3D7_02_v3:404281-406355,
Pf3D7_02_v3:409983-410228,
Pf3D7_02_v3:412275-412859,
Pf3D7_02_v3:413278-421137,-2.154750160158556
Pf3D7_02_v3:423063-424654,
Pf3D7_02_v3:425689-426497,-1.4614533003970323
Pf3D7_02_v3:427490-431530,-2.5009285630820446
Pf3D7_02_v3:432041-434086,-1.7590770484534448
Pf3D7_02_v3:436050-436994,
Pf3D7_02_v3:437755-439002,-0.9044419971699338
Pf3D7_02_v3:442080-442934,-1.650474584221674
Pf3D7_02_v3:451751-455116,-2.4593298924138085
Pf3D7_02_v3:455579-456286,
Pf3D7_02_v3:457130-458585,
Pf3D7_02_v3:459072-461518,
Pf3D7_02_v3:463163-466900,-2.333476492939055
Pf3D7_02_v3:467847-468476,-0.8671073443344842
Pf3D7_02_v3:469790-473491,-1.4438772790741168
Pf3D7_02_v3:475242-477074,-1.759399210021144
Pf3D7_02_v3:477432-479091,-1.9239978958005386
Pf3D7_02_v3:480100-481432,-1.2212583918361468
Pf3D7_02_v3:483436-488970,-2.4933045811445753
Pf3D7_02_v3:489904-490818,-1.6846680122929705
Pf3D7_02_v3:495166-507854,-2.4638247818754224
Pf3D7_02_v3:509525-521746,-2.2794854042583363
Pf3D7_02_v3:522931-523999,-1.5704349698936866
Pf3D7_02_v3:524700-526043,-1.7739997846236257
Pf3D7_02_v3:528249-531923,-2.115747628077735
Pf3D7_02_v3:533253-534350,-1.3084075996805296
Pf3D7_02_v3:535646-536146,-1.272718310210162
Pf3D7_02_v3:537789-539420,
Pf3D7_02_v3:540409-540969,
Pf3D7_02_v3:541086-541548,-1.584572214510905
Pf3D7_02_v3:541811-543807,-1.8816178017864404
Pf3D7_02_v3:543802-545895,-2.0416462839382716
Pf3D7_02_v3:546482-555294,-2.4115101791328186
Pf3D7_02_v3:557048-557696,
Pf3D7_02_v3:558585-560594,-1.7726757408705598
Pf3D7_02_v3:561122-564622,-2.3597444825333542
Pf3D7_02_v3:566121-567894,-2.0073123090914486
Pf3D7_02_v3:568529-573315,-2.3108798173798792
Pf3D7_02_v3:578662-586164,-2.4600994792275
Pf3D7_02_v3:586765-589051,-2.1614280256225724
Pf3D7_02_v3:590501-591421,-1.6724827012699695
Pf3D7_02_v3:594196-599340,-2.6162953452644326
Pf3D7_02_v3:599829-601712,-1.9873582060811927
Pf3D7_02_v3:605045-609325,-2.2512169314561445
Pf3D7_02_v3:610625-615372,-2.417424843503819
Pf3D7_02_v3:616772-619429,-0.917844854178728
Pf3D7_02_v3:622524-624306,-1.1231612856419682
Pf3D7_02_v3:626976-627710,-1.8237812871153147
Pf3D7_02_v3:628642-631308,-0.9675850409894747
Pf3D7_02_v3:634589-637507,-2.0669438465933347
Pf3D7_02_v3:640400-642694,-1.9847469442642813
Pf3D7_02_v3:643106-644317,-1.8238070639782482
Pf3D7_02_v3:645929-650085,-1.7386554763020032
Pf3D7_02_v3:650663-653362,-1.9969950847458042
Pf3D7_02_v3:654918-656840,-1.2662407145756105
Pf3D7_02_v3:658636-664629,-2.222641447845002
Pf3D7_02_v3:664984-668532,-2.47534097168228
Pf3D7_02_v3:668985-669841,-1.786426232070694
Pf3D7_02_v3:670413-674558,-2.501023900689292
Pf3D7_02_v3:675431-677599,-2.014500603715916
Pf3D7_02_v3:678487-683703,-2.4901418960658472
Pf3D7_02_v3:686485-688545,-1.9742138580355948
Pf3D7_02_v3:690311-695783,-2.2904928480471183
Pf3D7_02_v3:696193-699561,-2.1636162850474783
Pf3D7_02_v3:701245-702894,-2.216812958525204
Pf3D7_02_v3:703090-706587,-1.4653218989690604
Pf3D7_02_v3:707738-709393,-1.9381828189974435
Pf3D7_02_v3:709799-715252,-2.291711412318429
Pf3D7_02_v3:717692-718281,-1.4014277693549053
Pf3D7_02_v3:723747-729932,-2.473692647329101
Pf3D7_02_v3:731120-732312,-1.4736928028961698
Pf3D7_02_v3:734272-734595,-0.9352358643702965
Pf3D7_02_v3:735438-736997,-2.201572635757578
Pf3D7_02_v3:738860-739852,-1.3086203021647518
Pf3D7_02_v3:741014-742459,-1.8834052894854532
Pf3D7_02_v3:743289-745712,-2.26050282027725
Pf3D7_02_v3:747566-749365,-1.446578070562252
Pf3D7_02_v3:750049-751737,-1.8333627175421372
Pf3D7_02_v3:752966-753439,-1.3095662347350667
Pf3D7_02_v3:755418-762560,-2.4154721593140343
Pf3D7_02_v3:763491-765191,-2.111701605548009
Pf3D7_02_v3:769761-771041,-2.1010394547052154
Pf3D7_02_v3:772316-772690,-1.3095235388023987
Pf3D7_02_v3:773335-773754,-1.2908299597658912
Pf3D7_02_v3:776828-778065,-1.5321475909851892
Pf3D7_02_v3:779418-782132,-2.14491968753374
Pf3D7_02_v3:783723-784828,-1.3961123029693416
Pf3D7_02_v3:786870-787940,-1.7718260257745124
Pf3D7_02_v3:796752-801586,-2.1428348583410814
Pf3D7_02_v3:804520-807741,-1.4951769024780632
Pf3D7_02_v3:809511-810298,-1.3720835308096122
Pf3D7_02_v3:813827-814654,-1.7592297731318816
Pf3D7_02_v3:823825-824864,-1.37267658790902
Pf3D7_02_v3:831189-832005,-1.676716038531271
Pf3D7_02_v3:833805-834688,-1.4435574983703314
Pf3D7_02_v3:838843-844116,0.17099101114612242
Pf3D7_03_v3:78195-80393,-1.5929235874248182
Pf3D7_03_v3:85305-86131,-1.4672377831174166
Pf3D7_03_v3:88250-89231,-1.4935933816674591
Pf3D7_03_v3:91115-93463,-1.765110142513947
Pf3D7_03_v3:96568-97907,-1.4468037958249207
Pf3D7_03_v3:105913-107109,-1.7771490825770901
Pf3D7_03_v3:107961-109880,-1.5291852611163985
Pf3D7_03_v3:114070-118086,-2.049658898600499
Pf3D7_03_v3:119458-124735,-1.0841203688611187
Pf3D7_03_v3:135418-140660,1.6044292692780984
Pf3D7_03_v3:141556-145653,-1.5849180217402956
Pf3D7_03_v3:146372-147056,
Pf3D7_03_v3:148046-149305,-1.6629632236518266
Pf3D7_03_v3:152168-156146,-1.7697427484366461
Pf3D7_03_v3:159353-161704,-1.981926411534659
Pf3D7_03_v3:162778-167103,-2.515400825611676
Pf3D7_03_v3:169571-174300,-1.8476778621379177
Pf3D7_03_v3:175022-175799,-1.3969297187706526
Pf3D7_03_v3:178420-181127,-2.0417828176079986
Pf3D7_03_v3:182731-189411,-2.5401352969392854
Pf3D7_03_v3:190180-190719,
Pf3D7_03_v3:191245-192591,-2.256897319207711
Pf3D7_03_v3:194430-196211,-2.095824618192405
Pf3D7_03_v3:196570-197438,-1.6847672510693774
Pf3D7_03_v3:198542-201584,-2.397878309565743
Pf3D7_03_v3:204542-206119,-1.9963828938989496
Pf3D7_03_v3:212283-216572,-2.167735521660286
Pf3D7_03_v3:217941-218489,
Pf3D7_03_v3:219117-219872,-1.58397883376489
Pf3D7_03_v3:221323-222516,-0.38431016631923026
Pf3D7_03_v3:224160-225793,-2.0925848859240475
Pf3D7_03_v3:227057-231397,-2.3019450017665286
Pf3D7_03_v3:231793-232305,
Pf3D7_03_v3:234058-235334,-1.930697416117803
Pf3D7_03_v3:236334-248270,-2.704363157453781
Pf3D7_03_v3:251242-254661,-2.4070990285295744
Pf3D7_03_v3:255276-258416,-2.279036014097613
Pf3D7_03_v3:260332-261085,-1.2909088347615185
Pf3D7_03_v3:261485-273286,-2.3958119501952835
Pf3D7_03_v3:275864-277717,-2.088815640468989
Pf3D7_03_v3:278956-279828,-1.24574183129475
Pf3D7_03_v3:281916-285260,-2.410229941074183
Pf3D7_03_v3:285579-286112,-1.8146974242969196
Pf3D7_03_v3:288637-290747,-2.2523136889317006
Pf3D7_03_v3:292943-294548,-1.8965295666496382
Pf3D7_03_v3:295107-296094,-1.6741023585822223
Pf3D7_03_v3:298517-300478,-1.557630854675478
Pf3D7_03_v3:301007-301906,-1.3717104570028809
Pf3D7_03_v3:302826-303083,-0.5820184113458666
Pf3D7_03_v3:304317-304999,-1.3076662303939512
Pf3D7_03_v3:306108-307984,
Pf3D7_03_v3:310652-311805,-1.6728938696076614
Pf3D7_03_v3:312693-313342,-1.5574090147509037
Pf3D7_03_v3:314976-316236,-1.3083565795538956
Pf3D7_03_v3:318804-320336,-2.0883000662723004
Pf3D7_03_v3:321050-322162,-1.8429442964483966
Pf3D7_03_v3:322933-324836,-1.2253859488647043
Pf3D7_03_v3:325922-328383,-2.4898638616778728
Pf3D7_03_v3:328787-335269,-2.2399075105376727
Pf3D7_03_v3:337179-339278,-1.6731493925001413
Pf3D7_03_v3:340028-351652,-2.5764621200347113
Pf3D7_03_v3:353549-355045,-1.6845077240290292
Pf3D7_03_v3:356319-361454,-1.9311516984973807
Pf3D7_03_v3:362342-364233,0.11869880272980653
Pf3D7_03_v3:365659-366672,-1.7427517672512174
Pf3D7_03_v3:369925-370789,-1.4322485397526699
Pf3D7_03_v3:372632-374230,-1.9064731989847241
Pf3D7_03_v3:375806-377437,-2.3084176369262424
Pf3D7_03_v3:378045-378517,-1.3288687932257521
Pf3D7_03_v3:379130-383290,-1.723800393674047
Pf3D7_03_v3:384375-386879,-1.6853257452405586
Pf3D7_03_v3:387219-388473,-1.4644326852100953
Pf3D7_03_v3:389137-394604,-2.328662024626575
Pf3D7_03_v3:397649-400516,-1.9035220387859866
Pf3D7_03_v3:402933-405440,-1.416592024266463
Pf3D7_03_v3:407980-408318,-1.0818454252288774
Pf3D7_03_v3:409102-410928,-2.2227853732301615
Pf3D7_03_v3:412089-413762,
Pf3D7_03_v3:414234-419673,-2.4128485749894106
Pf3D7_03_v3:420697-421515,-1.5190182098415457
Pf3D7_03_v3:422379-424680,-1.698976143885906
Pf3D7_03_v3:427290-440942,-2.6081810371753513
Pf3D7_03_v3:442720-446457,-2.1300972178030197
Pf3D7_03_v3:447500-451384,-2.2419472411592265
Pf3D7_03_v3:452297-459106,-2.389625717804773
Pf3D7_03_v3:461175-462027,-1.254818156884579
Pf3D7_03_v3:466085-468445,-2.111769874894463
Pf3D7_03_v3:469287-470118,-1.2648655351803144
Pf3D7_03_v3:470860-473161,-2.045955967110172
Pf3D7_03_v3:474788-479086,-2.493765968142883
Pf3D7_03_v3:480122-483453,-2.413678866669395
Pf3D7_03_v3:488804-496510,-2.6664305612135246
Pf3D7_03_v3:497118-497363,-1.5579222406967037
Pf3D7_03_v3:499602-502353,-1.8596414003667823
Pf3D7_03_v3:502698-505848,-2.1412408282322613
Pf3D7_03_v3:506655-508846,-1.945851451214265
Pf3D7_03_v3:509291-511597,-0.6458934313212289
Pf3D7_03_v3:512130-512951,
Pf3D7_03_v3:513752-516262,-2.0500244266018055
Pf3D7_03_v3:516793-520503,-2.443161058487872
Pf3D7_03_v3:521969-522883,
Pf3D7_03_v3:524154-526439,-2.061874340699898
Pf3D7_03_v3:529037-530776,-2.2464633179685043
Pf3D7_03_v3:536043-537274,-1.8799467682141697
Pf3D7_03_v3:537621-538804,-2.049209949636565
Pf3D7_03_v3:539743-542810,-2.272109780479167
Pf3D7_03_v3:543241-543942,-1.76982922275024
Pf3D7_03_v3:544055-545194,-1.3982965653208368
Pf3D7_03_v3:545828-548182,-2.311992680429952
Pf3D7_03_v3:548718-551453,-2.329503980355082
Pf3D7_03_v3:552001-554621,-0.8038364829561108
Pf3D7_03_v3:555035-558684,-2.0083197357379037
Pf3D7_03_v3:559334-562253,-1.8816312169312028
Pf3D7_03_v3:562366-565656,-2.5078842512288566
Pf3D7_03_v3:567247-568850,
Pf3D7_03_v3:569308-571051,
Pf3D7_03_v3:572666-576823,-2.402112604940942
Pf3D7_03_v3:577008-578366,-1.946098009401649
Pf3D7_03_v3:579539-580465,-1.446552742052558
Pf3D7_03_v3:584226-585168,
Pf3D7_03_v3:586555-587331,-1.759428781680281
Pf3D7_03_v3:589002-592547,-2.3663459227954675
Pf3D7_03_v3:604595-607931,-2.5042761652814716
Pf3D7_03_v3:608883-610718,-2.0894894893562515
Pf3D7_03_v3:611334-612014,-1.519779609020498
Pf3D7_03_v3:612739-613422,
Pf3D7_03_v3:616472-622816,-1.3501074336284928
Pf3D7_03_v3:623446-630360,-2.5951087397389294
Pf3D7_03_v3:630611-631381,-1.6727327938625387
Pf3D7_03_v3:632846-633544,-1.4464389338032013
Pf3D7_03_v3:635586-637462,-1.8657341561691805
Pf3D7_03_v3:638283-641306,-2.290659073355386
Pf3D7_03_v3:641482-642579,-1.884071030387448
Pf3D7_03_v3:644186-645268,-1.7827692052412456
Pf3D7_03_v3:645921-646844,-2.1667306043571783
Pf3D7_03_v3:648635-649531,-2.1120708892281854
Pf3D7_03_v3:649849-657247,-2.5479508263071984
Pf3D7_03_v3:658272-661643,-1.749089455077499
Pf3D7_03_v3:662126-665152,-2.445450310940706
Pf3D7_03_v3:667006-668391,-1.833228708859117
Pf3D7_03_v3:669302-670873,-1.1989483657671633
Pf3D7_03_v3:674458-675636,-1.3194742529056394
Pf3D7_03_v3:677842-678474,
Pf3D7_03_v3:679234-681277,-1.5900523266792854
Pf3D7_03_v3:682795-683685,
Pf3D7_03_v3:686282-689482,-2.183790208867049
Pf3D7_03_v3:690154-694815,-2.56985444924762
Pf3D7_03_v3:699544-709728,-2.5449499599055705
Pf3D7_03_v3:712253-714082,-1.7594575532453187
Pf3D7_03_v3:716523-721831,-2.5624083971385536
Pf3D7_03_v3:725015-726130,
Pf3D7_03_v3:728259-738076,-2.5923886555782736
Pf3D7_03_v3:738205-738882,-1.8157329166342995
Pf3D7_03_v3:739428-741733,-2.100699158162886
Pf3D7_03_v3:742191-742799,-1.8289239339221297
Pf3D7_03_v3:743929-745053,-1.5703351532542789
Pf3D7_03_v3:748465-755838,-2.031556890244008
Pf3D7_03_v3:756491-760292,-2.219234270857646
Pf3D7_03_v3:761693-765439,-2.4252283023849945
Pf3D7_03_v3:767815-782760,-2.69260535222129
Pf3D7_03_v3:783112-786165,-2.4577058161778105
Pf3D7_03_v3:791840-793481,-2.1834345445432506
Pf3D7_03_v3:795577-801171,-2.392712938914687
Pf3D7_03_v3:802260-802583,-1.272475439718773
Pf3D7_03_v3:803592-806312,-2.027838285182374
Pf3D7_03_v3:807277-807859,-1.814217791262556
Pf3D7_03_v3:810081-814172,-2.349089425917868
Pf3D7_03_v3:815569-816855,-1.6852541481209928
Pf3D7_03_v3:817913-818695,0.0064307646342526585
Pf3D7_03_v3:820708-830802,-2.580943232604638
Pf3D7_03_v3:831076-832509,-1.9862646813827427
Pf3D7_03_v3:833833-834777,
Pf3D7_03_v3:837307-838271,-1.2729385560218305
Pf3D7_03_v3:840362-841758,-1.5838626542719119
Pf3D7_03_v3:842539-844290,-2.174477148892139
Pf3D7_03_v3:845713-847320,-1.8803148435426709
Pf3D7_03_v3:848247-857504,-1.9382667681185644
Pf3D7_03_v3:860813-862102,-2.076226620912798
Pf3D7_03_v3:862741-863832,
Pf3D7_03_v3:865014-866420,-1.5393397092442744
Pf3D7_03_v3:870817-872342,-1.5704805259159789
Pf3D7_03_v3:875213-876295,-1.3104281490045484
Pf3D7_03_v3:877735-879511,-1.4462730937527175
Pf3D7_03_v3:879959-885493,-2.3591513999097034
Pf3D7_03_v3:886962-888976,-1.612127297770311
Pf3D7_03_v3:890014-892764,-1.5489534645844412
Pf3D7_03_v3:894761-896112,-1.308569557142399
Pf3D7_03_v3:896546-899770,-2.372695571001823
Pf3D7_03_v3:900857-903369,-2.384534964622458
Pf3D7_03_v3:903764-910118,-2.412046466242492
Pf3D7_03_v3:912916-921036,-2.5816775869904687
Pf3D7_03_v3:922974-927942,-2.309804189129576
Pf3D7_03_v3:928644-929159,-1.446355086318637
Pf3D7_03_v3:930640-932415,-2.2789706317226295
Pf3D7_03_v3:933188-937006,-2.2412323040863944
Pf3D7_03_v3:938212-940173,-2.196789326709901
Pf3D7_03_v3:942545-945301,-2.335335705759088
Pf3D7_03_v3:945537-946751,-1.835032484153939
Pf3D7_03_v3:948374-952693,-2.471381855429441
Pf3D7_03_v3:952964-962367,-2.5841602800929047
Pf3D7_03_v3:964101-965203,-1.6609807461440782
Pf3D7_03_v3:965553-966502,-1.096735058523332
Pf3D7_03_v3:968675-969202,-1.4613689940193328
Pf3D7_03_v3:971166-975794,-2.5206470012984847
Pf3D7_03_v3:976870-978195,-1.7761216659241295
Pf3D7_03_v3:978970-980271,-1.8939191166841947
Pf3D7_03_v3:980706-983966,-2.288168437671899
Pf3D7_03_v3:986265-987610,-1.8512624743289205
Pf3D7_03_v3:988631-990882,-1.8207534904153932
Pf3D7_03_v3:991544-993625,-2.176511835111676
Pf3D7_03_v3:998649-1001582,-1.9796414325831428
Pf3D7_04_v3:92576-93809,-1.1343690535090138
Pf3D7_04_v3:103742-105603,1.6698412010516155
Pf3D7_04_v3:108380-111295,-1.5944447726498847
Pf3D7_04_v3:114601-116058,-2.016590634883088
Pf3D7_04_v3:123588-125464,-2.217793720385702
Pf3D7_04_v3:137640-146653,-2.1426380066691944
Pf3D7_04_v3:147490-148380,-0.655445585844248
Pf3D7_04_v3:175372-177252,-2.3148423760565406
Pf3D7_04_v3:178518-180200,-1.8801415726131694
Pf3D7_04_v3:180430-181551,-1.4621388733194685
Pf3D7_04_v3:182870-194712,-2.560944941069568
Pf3D7_04_v3:195543-196745,-1.357633800721468
Pf3D7_04_v3:197846-201208,-2.0350165478531457
Pf3D7_04_v3:206228-209394,-2.0553396687680983
Pf3D7_04_v3:211515-213854,-2.2951482309813516
Pf3D7_04_v3:219087-222838,-2.3731915903627065
Pf3D7_04_v3:223711-224131,
Pf3D7_04_v3:224779-231733,-2.591076947431896
Pf3D7_04_v3:232595-233249,-1.570805323069564
Pf3D7_04_v3:234014-237013,-1.5149090664129463
Pf3D7_04_v3:238360-239499,-2.0502631644199596
Pf3D7_04_v3:240911-242347,-1.4349916479106517
Pf3D7_04_v3:247731-260147,-2.5795845355077627
Pf3D7_04_v3:260454-263418,-1.4693927371508015
Pf3D7_04_v3:264305-266170,-2.127389648012955
Pf3D7_04_v3:267244-268380,-1.7542870556357082
Pf3D7_04_v3:268960-271134,-2.15893869283243
Pf3D7_04_v3:272255-276824,-2.405061798609631
Pf3D7_04_v3:279072-281983,-1.4611760511187075
Pf3D7_04_v3:282403-288297,-2.0605074141440904
Pf3D7_04_v3:291251-300976,-2.2437238966082913
Pf3D7_04_v3:301259-302267,-1.5372198705487485
Pf3D7_04_v3:303329-305343,-1.308833433365625
Pf3D7_04_v3:305746-312993,-2.5428689449455066
Pf3D7_04_v3:315562-315870,-1.3089848106541488
Pf3D7_04_v3:316540-319178,-2.137267767181596
Pf3D7_04_v3:321019-322545,-2.004311133710279
